@relation californiaHousing

@attribute MedianHouseValue numeric
@attribute Longitude numeric
@attribute Latitude numeric
@attribute HousingMedianAge numeric
@attribute TotalRooms numeric
@attribute TotalBedrooms numeric
@attribute Population numeric
@attribute Households numeric
@attribute MedianIncome numeric

@data
204500.0,-118.27,34.14,29.0,3768.0,1211.0,2320.0,1030.0,2.7685
387500.0,-118.46,34.05,21.0,3639.0,1002.0,1489.0,983.0,4.6197
350000.0,-122.06,37.64,20.0,1655.0,450.0,857.0,430.0,3.5541
180700.0,-117.84,34.1,17.0,7836.0,1624.0,4419.0,1526.0,3.8465
235100.0,-117.19,32.79,36.0,1514.0,258.0,665.0,278.0,3.8571
97900.0,-118.22,33.9,40.0,1802.0,496.0,2096.0,468.0,2.3542
165300.0,-116.92,32.82,34.0,1765.0,284.0,772.0,282.0,5.0118
353600.0,-118.43,34.16,34.0,2459.0,489.0,1139.0,463.0,4.0347
171300.0,-121.77,36.94,18.0,1063.0,341.0,1033.0,313.0,2.0192
123100.0,-119.67,37.27,13.0,5087.0,981.0,2284.0,913.0,2.7413
56500.0,-119.25,35.77,35.0,1618.0,378.0,1449.0,398.0,1.6786
48800.0,-118.99,35.39,39.0,2228.0,542.0,1516.0,435.0,1.6009
195800.0,-117.16,32.73,52.0,1863.0,559.0,906.0,493.0,1.9203
246400.0,-118.45,34.18,34.0,1843.0,442.0,861.0,417.0,3.6875
256300.0,-118.39,34.16,20.0,4084.0,1062.0,1637.0,987.0,3.2388
228100.0,-122.12,37.64,40.0,432.0,102.0,264.0,77.0,3.8875
159400.0,-122.13,37.46,37.0,1576.0,334.0,1385.0,323.0,2.5294
370400.0,-118.23,34.15,40.0,2124.0,370.0,998.0,372.0,5.3369
283000.0,-121.96,37.29,24.0,1240.0,263.0,690.0,276.0,5.0
176900.0,-118.19,34.12,46.0,3387.0,820.0,2833.0,813.0,2.987
113700.0,-119.08,36.13,21.0,2271.0,376.0,1145.0,372.0,3.1528
314100.0,-117.4,33.9,32.0,1263.0,178.0,508.0,180.0,3.6667
171400.0,-121.09,37.61,42.0,1787.0,296.0,921.0,287.0,3.8864
156700.0,-121.46,38.57,52.0,1625.0,419.0,614.0,383.0,2.0549
134800.0,-117.05,32.58,23.0,1918.0,339.0,1392.0,340.0,4.087
213700.0,-122.07,37.58,16.0,1893.0,338.0,1461.0,344.0,5.225
394900.0,-122.09,37.21,15.0,1969.0,332.0,822.0,324.0,7.8774
112500.0,-123.07,38.46,31.0,855.0,217.0,280.0,139.0,2.3611
91900.0,-121.42,38.72,10.0,3054.0,528.0,1932.0,510.0,3.0903
108800.0,-117.55,33.88,19.0,2472.0,618.0,2143.0,610.0,2.2372
193800.0,-118.3,34.05,31.0,1744.0,720.0,2034.0,633.0,2.2684
160100.0,-119.81,36.8,38.0,2252.0,325.0,777.0,314.0,6.1575
350000.0,-117.87,33.85,33.0,45.0,11.0,34.0,10.0,5.2949
222500.0,-118.16,33.78,39.0,4075.0,1085.0,2470.0,1025.0,2.3317
89400.0,-121.48,38.61,18.0,1511.0,315.0,1062.0,304.0,2.3438
37500.0,-119.85,34.4,14.0,2307.0,650.0,5723.0,615.0,2.1652
310000.0,-121.79,38.54,7.0,1777.0,513.0,4479.0,504.0,1.4653
101200.0,-117.38,34.11,32.0,3179.0,662.0,1878.0,661.0,3.1375
188500.0,-122.61,38.24,18.0,2933.0,481.0,1279.0,443.0,5.0849
156300.0,-118.14,34.16,36.0,2973.0,807.0,2846.0,784.0,2.6217
85500.0,-121.74,39.38,27.0,2596.0,435.0,1100.0,409.0,2.3243
226500.0,-116.88,34.24,13.0,4137.0,796.0,573.0,218.0,4.6394
222400.0,-118.22,34.63,4.0,14348.0,2145.0,5839.0,1806.0,5.3799
414600.0,-122.47,37.78,52.0,3021.0,569.0,1479.0,514.0,4.0208
340900.0,-121.6,37.9,5.0,14684.0,2252.0,4276.0,1722.0,6.9051
165600.0,-118.15,33.98,37.0,1184.0,290.0,1320.0,276.0,2.3
153300.0,-118.08,33.84,25.0,3696.0,953.0,2827.0,860.0,3.3438
153800.0,-117.93,34.01,33.0,1733.0,361.0,1757.0,375.0,4.2266
224700.0,-117.21,34.04,14.0,3063.0,426.0,1570.0,419.0,6.2917
211300.0,-117.34,33.89,17.0,2678.0,394.0,1225.0,367.0,5.363
253800.0,-122.25,37.5,44.0,348.0,79.0,154.0,73.0,4.7708
59200.0,-121.23,37.96,44.0,2204.0,473.0,1277.0,435.0,1.5539
174100.0,-117.09,32.8,36.0,2163.0,367.0,915.0,360.0,4.7188
351900.0,-117.91,33.89,30.0,1631.0,212.0,523.0,216.0,7.875
262500.0,-121.95,37.28,52.0,777.0,148.0,362.0,144.0,4.0208
500001.0,-117.77,33.54,28.0,3404.0,497.0,1134.0,466.0,7.2217
303700.0,-122.48,37.67,15.0,2897.0,728.0,2340.0,720.0,3.3906
86600.0,-121.53,38.56,39.0,2438.0,483.0,1103.0,472.0,2.9375
208800.0,-118.32,34.09,44.0,2666.0,830.0,2297.0,726.0,1.676
99400.0,-121.87,38.02,52.0,2264.0,439.0,1403.0,476.0,2.7083
93600.0,-119.05,35.32,11.0,7035.0,1455.0,3525.0,1387.0,3.4827
67500.0,-117.17,32.63,26.0,1617.0,279.0,2745.0,250.0,3.5357
239100.0,-119.32,36.33,20.0,1896.0,266.0,674.0,277.0,9.0376
302600.0,-117.27,34.5,8.0,3567.0,543.0,1133.0,419.0,5.3733
274700.0,-122.08,37.72,32.0,2476.0,368.0,1048.0,367.0,5.6194
166900.0,-122.24,38.12,42.0,1625.0,255.0,578.0,243.0,4.0114
141600.0,-122.33,37.94,43.0,1876.0,389.0,807.0,377.0,3.1571
182000.0,-118.28,34.08,42.0,1618.0,522.0,1454.0,440.0,3.1607
250000.0,-118.3,34.1,38.0,2067.0,914.0,2717.0,853.0,1.7641
124900.0,-121.32,38.7,17.0,3214.0,551.0,1879.0,562.0,4.3643
226500.0,-122.05,36.96,30.0,971.0,185.0,644.0,173.0,4.2045
90400.0,-121.45,38.7,24.0,2159.0,369.0,1141.0,355.0,3.9853
76900.0,-116.97,33.74,20.0,3674.0,792.0,1498.0,758.0,2.2161
123400.0,-118.32,34.01,47.0,1745.0,371.0,1079.0,368.0,2.4022
222900.0,-118.47,34.27,33.0,1549.0,264.0,881.0,289.0,5.1408
166300.0,-122.19,38.09,8.0,614.0,118.0,278.0,115.0,6.3735
302000.0,-117.69,33.65,15.0,5394.0,748.0,2383.0,706.0,7.5619
141400.0,-122.68,38.4,32.0,2826.0,627.0,1767.0,628.0,3.1047
157200.0,-120.72,38.38,9.0,1787.0,347.0,806.0,306.0,2.525
271600.0,-118.38,34.04,39.0,2614.0,569.0,1665.0,553.0,3.4063
500001.0,-122.18,37.9,36.0,4760.0,610.0,1511.0,572.0,9.0064
176600.0,-118.37,34.21,36.0,2080.0,455.0,1939.0,484.0,4.2875
215900.0,-118.5,34.21,36.0,1656.0,310.0,817.0,308.0,5.5675
173900.0,-117.32,33.87,15.0,826.0,138.0,440.0,134.0,4.8125
81600.0,-117.23,34.12,6.0,4464.0,1093.0,2364.0,952.0,2.3848
500001.0,-118.57,34.17,31.0,1950.0,383.0,870.0,357.0,3.1875
154500.0,-117.95,34.05,31.0,2349.0,539.0,2028.0,521.0,3.494
201600.0,-118.13,33.86,37.0,2259.0,425.0,1183.0,413.0,5.1805
103600.0,-121.83,38.0,15.0,6365.0,1646.0,3838.0,1458.0,2.5495
87500.0,-122.45,37.69,17.0,2359.0,501.0,884.0,504.0,3.0625
232100.0,-118.26,34.07,52.0,830.0,200.0,701.0,189.0,2.7625
161400.0,-118.2,33.87,36.0,1554.0,273.0,974.0,264.0,4.2135
45500.0,-119.76,36.73,39.0,1553.0,363.0,1449.0,341.0,1.4419
284200.0,-122.03,36.96,32.0,2182.0,406.0,1122.0,370.0,3.52
500001.0,-122.22,37.36,34.0,1559.0,243.0,600.0,242.0,8.7382
134100.0,-120.25,37.93,13.0,493.0,76.0,196.0,68.0,3.375
49800.0,-119.75,36.71,38.0,1481.0,353.0,1543.0,372.0,1.4577
133700.0,-117.05,32.75,43.0,1718.0,344.0,826.0,336.0,2.7014
243700.0,-117.34,33.16,31.0,2851.0,458.0,1286.0,467.0,4.5694
420000.0,-118.44,34.01,42.0,2061.0,396.0,907.0,393.0,6.0804
275000.0,-122.53,37.65,20.0,4582.0,1124.0,2325.0,1040.0,4.0556
150000.0,-122.73,38.42,26.0,1446.0,296.0,884.0,295.0,4.3523
187800.0,-122.87,38.48,27.0,3894.0,776.0,1832.0,715.0,3.5085
221900.0,-116.96,33.62,8.0,1003.0,167.0,388.0,140.0,4.2917
151300.0,-118.11,33.92,32.0,1016.0,190.0,729.0,177.0,4.3
82800.0,-121.04,37.6,27.0,958.0,184.0,580.0,177.0,2.1875
155700.0,-121.35,38.03,8.0,1904.0,255.0,895.0,242.0,5.7201
261500.0,-117.16,32.74,27.0,2335.0,604.0,982.0,590.0,3.1921
346200.0,-118.32,33.81,28.0,2142.0,445.0,1140.0,422.0,4.8438
60600.0,-115.54,32.98,27.0,1513.0,395.0,1121.0,381.0,1.9464
61600.0,-121.68,39.29,29.0,1860.0,400.0,1137.0,365.0,1.5281
134200.0,-118.29,33.97,48.0,3139.0,587.0,1319.0,506.0,3.5208
304500.0,-118.44,34.15,38.0,1387.0,337.0,713.0,343.0,2.9352
314900.0,-118.39,33.99,43.0,612.0,135.0,402.0,142.0,5.1322
500001.0,-118.46,34.01,46.0,1379.0,239.0,688.0,269.0,6.8901
57600.0,-120.31,37.29,36.0,969.0,206.0,732.0,175.0,1.5938
203200.0,-117.53,33.94,21.0,5675.0,935.0,2834.0,865.0,4.2263
84800.0,-119.57,36.71,10.0,1657.0,359.0,958.0,380.0,2.6458
162500.0,-120.08,38.8,34.0,1988.0,511.0,36.0,15.0,4.625
244100.0,-122.82,38.33,25.0,3067.0,569.0,1602.0,550.0,3.9917
242000.0,-118.1,33.85,28.0,2825.0,470.0,1352.0,469.0,5.2639
500001.0,-118.49,34.0,32.0,3407.0,1071.0,1463.0,986.0,3.0369
70800.0,-117.29,34.11,48.0,1498.0,448.0,1586.0,455.0,1.1687
150000.0,-121.33,37.98,10.0,1564.0,397.0,643.0,347.0,2.7031
127300.0,-118.27,34.02,39.0,2004.0,633.0,3050.0,621.0,1.875
217100.0,-118.27,34.15,22.0,2265.0,637.0,1684.0,561.0,2.6729
51000.0,-119.28,35.99,20.0,2911.0,597.0,1746.0,588.0,1.7372
350200.0,-118.36,33.83,35.0,2828.0,487.0,1439.0,490.0,5.6013
110200.0,-118.25,33.93,42.0,657.0,147.0,526.0,132.0,2.5
104900.0,-121.57,39.76,20.0,1384.0,257.0,557.0,232.0,2.0882
495600.0,-118.36,34.13,36.0,6871.0,1180.0,2216.0,1130.0,8.0499
141100.0,-118.1,34.7,5.0,10356.0,1647.0,4562.0,1427.0,4.9806
190300.0,-117.11,32.77,48.0,1502.0,272.0,590.0,265.0,2.5952
300000.0,-119.7,34.43,52.0,977.0,289.0,412.0,272.0,2.125
500001.0,-117.26,32.85,30.0,3652.0,499.0,978.0,462.0,8.2374
331900.0,-118.34,33.84,36.0,1407.0,231.0,676.0,231.0,5.269
338800.0,-122.44,37.75,46.0,1519.0,291.0,573.0,289.0,4.2667
116700.0,-123.83,41.88,18.0,1504.0,357.0,660.0,258.0,3.13
264100.0,-121.95,37.39,24.0,5230.0,934.0,3795.0,970.0,5.4228
82800.0,-122.19,37.75,36.0,1126.0,263.0,482.0,150.0,1.9167
394400.0,-118.39,34.15,29.0,3110.0,650.0,1212.0,642.0,4.2031
111200.0,-117.64,34.07,38.0,2450.0,544.0,1823.0,536.0,2.837
318200.0,-122.18,37.8,34.0,1355.0,195.0,442.0,195.0,6.2838
132600.0,-117.24,33.95,11.0,6617.0,1118.0,3710.0,1087.0,4.7877
276700.0,-118.4,33.99,39.0,1613.0,380.0,1113.0,356.0,2.825
302400.0,-117.81,33.71,16.0,2666.0,387.0,1227.0,347.0,7.3769
193800.0,-118.02,33.93,35.0,2400.0,398.0,1218.0,408.0,4.1312
241000.0,-121.76,37.28,17.0,660.0,129.0,431.0,123.0,4.9097
367700.0,-122.01,37.91,21.0,10093.0,1269.0,3645.0,1219.0,7.6877
120400.0,-122.02,38.26,20.0,3899.0,763.0,2198.0,779.0,3.2061
45000.0,-121.31,37.94,41.0,375.0,108.0,323.0,98.0,1.9531
109300.0,-118.06,34.58,36.0,1493.0,258.0,899.0,260.0,3.86
207300.0,-118.15,33.93,30.0,3096.0,628.0,1676.0,587.0,4.6583
394400.0,-121.92,36.57,42.0,3944.0,738.0,1374.0,598.0,4.174
307200.0,-118.41,33.98,33.0,3331.0,777.0,1695.0,735.0,3.9727
112800.0,-117.1,34.57,6.0,5110.0,1044.0,1938.0,724.0,3.1917
279200.0,-121.91,36.63,42.0,817.0,194.0,391.0,193.0,2.1776
253900.0,-119.19,34.2,36.0,1293.0,312.0,1128.0,335.0,2.1542
136400.0,-120.48,34.7,26.0,3069.0,518.0,1524.0,539.0,4.3162
84300.0,-122.35,37.93,28.0,1995.0,488.0,1182.0,439.0,2.3352
156900.0,-122.08,37.63,35.0,517.0,108.0,391.0,107.0,4.0682
173800.0,-118.12,33.91,34.0,682.0,132.0,491.0,144.0,4.6389
472800.0,-122.19,37.43,39.0,2392.0,420.0,937.0,406.0,6.6136
500001.0,-118.39,34.06,39.0,3299.0,831.0,1649.0,759.0,3.3295
156200.0,-118.04,33.92,35.0,2469.0,522.0,2151.0,537.0,3.4219
62000.0,-119.77,36.3,24.0,2202.0,471.0,1052.0,439.0,2.1038
106400.0,-118.24,33.92,44.0,1079.0,210.0,601.0,182.0,2.2411
133900.0,-116.98,34.13,16.0,2098.0,449.0,342.0,143.0,4.0333
210100.0,-117.07,33.04,4.0,2271.0,578.0,926.0,391.0,3.6437
112500.0,-120.13,37.93,5.0,111.0,26.0,58.0,25.0,1.675
62700.0,-122.17,39.31,35.0,2791.0,552.0,1395.0,476.0,2.5625
58000.0,-121.54,39.08,26.0,2276.0,460.0,1455.0,474.0,2.4695
229200.0,-118.51,34.19,35.0,2537.0,418.0,1161.0,421.0,5.3028
500001.0,-118.46,33.77,28.0,3065.0,406.0,1101.0,391.0,10.5536
163100.0,-118.15,34.19,38.0,1750.0,411.0,1398.0,409.0,2.3967
274000.0,-117.66,33.61,21.0,1932.0,266.0,860.0,286.0,7.1497
244800.0,-118.62,34.2,29.0,2421.0,402.0,1120.0,388.0,5.0309
500001.0,-122.4,37.59,22.0,2754.0,477.0,1163.0,479.0,6.2306
195000.0,-121.24,37.79,7.0,5151.0,867.0,2553.0,805.0,4.075
79500.0,-121.63,39.13,26.0,2355.0,531.0,1047.0,497.0,1.8208
239900.0,-118.11,34.16,52.0,1353.0,274.0,852.0,306.0,3.4583
220000.0,-117.03,32.8,19.0,3866.0,775.0,1554.0,703.0,4.3281
255600.0,-117.2,32.79,29.0,1213.0,228.0,654.0,246.0,4.5987
137500.0,-117.15,32.71,52.0,217.0,82.0,531.0,93.0,1.6607
164900.0,-119.17,34.17,42.0,1411.0,300.0,1295.0,339.0,2.6667
233200.0,-118.83,34.15,16.0,3380.0,731.0,1227.0,641.0,4.2857
155100.0,-118.3,33.91,30.0,1842.0,476.0,1491.0,420.0,3.0147
500001.0,-122.14,37.38,26.0,2859.0,343.0,951.0,336.0,10.4277
288500.0,-117.7,33.53,5.0,6698.0,1254.0,2834.0,1139.0,5.9088
131900.0,-117.05,32.59,26.0,1919.0,345.0,1326.0,341.0,4.2679
110700.0,-119.07,35.36,19.0,5254.0,894.0,2155.0,831.0,4.6705
231700.0,-117.83,33.88,18.0,2112.0,340.0,1048.0,315.0,6.9308
162000.0,-117.22,32.75,26.0,617.0,112.0,251.0,110.0,3.8036
86100.0,-117.37,34.1,44.0,2087.0,447.0,1270.0,423.0,2.3889
51700.0,-119.79,36.84,22.0,1529.0,375.0,1543.0,395.0,1.7926
97100.0,-121.13,37.74,31.0,677.0,144.0,523.0,159.0,2.4598
164100.0,-117.14,32.76,28.0,3025.0,756.0,1328.0,695.0,2.694
73500.0,-121.63,39.15,27.0,2991.0,637.0,1419.0,606.0,1.8849
416500.0,-122.12,37.81,26.0,4048.0,513.0,1486.0,498.0,7.6717
283300.0,-120.15,39.2,14.0,1382.0,242.0,141.0,66.0,4.1016
226700.0,-122.04,37.63,33.0,952.0,172.0,369.0,159.0,3.2331
178500.0,-117.9,33.73,26.0,1324.0,314.0,1804.0,311.0,3.9659
190000.0,-118.21,34.12,52.0,1301.0,389.0,1189.0,361.0,2.5139
313800.0,-118.02,33.97,34.0,1903.0,293.0,887.0,306.0,6.148
287500.0,-118.35,34.07,45.0,7803.0,2154.0,3359.0,2041.0,3.3594
278200.0,-122.05,37.57,7.0,10648.0,1818.0,6075.0,1797.0,6.1047
117400.0,-118.19,33.91,33.0,915.0,225.0,826.0,212.0,2.7708
320900.0,-121.82,37.38,32.0,1650.0,246.0,768.0,263.0,6.8462
47500.0,-116.17,33.66,22.0,639.0,203.0,664.0,153.0,1.9306
500001.0,-122.2,37.47,40.0,2959.0,389.0,985.0,365.0,9.9025
141500.0,-120.43,34.86,17.0,1932.0,347.0,874.0,312.0,3.8203
500001.0,-122.35,37.57,52.0,2059.0,345.0,800.0,308.0,4.97
197100.0,-122.07,37.96,34.0,1692.0,290.0,836.0,289.0,5.0172
216100.0,-117.26,33.19,4.0,2342.0,595.0,1518.0,545.0,2.9469
172200.0,-120.98,37.65,40.0,422.0,63.0,158.0,63.0,7.3841
57800.0,-121.67,40.89,17.0,2548.0,537.0,1118.0,461.0,2.267
174200.0,-122.19,37.78,49.0,1183.0,205.0,496.0,209.0,5.2328
322400.0,-121.4,37.74,20.0,2706.0,477.0,1236.0,474.0,4.15
213200.0,-118.08,34.1,36.0,2679.0,548.0,1605.0,533.0,3.5313
267600.0,-117.83,33.82,26.0,3259.0,456.0,1354.0,459.0,5.7817
174000.0,-117.67,34.1,28.0,1263.0,248.0,601.0,219.0,3.875
94800.0,-117.1,32.75,21.0,2063.0,609.0,1686.0,558.0,1.4828
500001.0,-122.04,37.29,19.0,3625.0,432.0,1252.0,409.0,12.2145
189600.0,-117.89,33.77,35.0,1799.0,343.0,1239.0,368.0,3.9219
96700.0,-122.22,38.08,37.0,2811.0,539.0,1574.0,516.0,3.1053
236500.0,-121.14,38.84,22.0,2750.0,433.0,1161.0,428.0,4.2143
172500.0,-121.88,37.32,40.0,1331.0,374.0,1276.0,389.0,2.7546
162500.0,-121.41,38.34,24.0,1605.0,277.0,1966.0,250.0,3.0833
205000.0,-118.3,34.17,16.0,1353.0,398.0,1211.0,357.0,3.1551
181800.0,-117.36,33.18,26.0,5550.0,1153.0,2372.0,1058.0,2.5509
176000.0,-118.91,34.18,17.0,3220.0,716.0,1381.0,733.0,2.8958
258900.0,-122.33,38.31,14.0,6778.0,947.0,2768.0,1014.0,6.1953
245100.0,-118.55,34.23,25.0,4409.0,1018.0,4579.0,1010.0,2.8727
264700.0,-117.98,33.67,7.0,5664.0,1174.0,2493.0,1101.0,5.8252
71400.0,-119.02,35.34,34.0,2861.0,510.0,1375.0,486.0,3.4286
78700.0,-121.83,39.72,52.0,1890.0,420.0,974.0,383.0,1.6827
235600.0,-117.91,33.88,34.0,1851.0,291.0,784.0,290.0,5.2336
98100.0,-116.44,34.16,19.0,1867.0,361.0,758.0,321.0,2.8929
107900.0,-122.17,37.76,47.0,2118.0,413.0,965.0,382.0,2.1842
111500.0,-117.29,34.06,7.0,1971.0,403.0,1336.0,423.0,4.5066
292100.0,-118.24,34.23,42.0,1541.0,280.0,753.0,264.0,5.1028
331300.0,-122.21,38.41,12.0,4270.0,654.0,1624.0,598.0,5.5266
114000.0,-118.27,33.81,10.0,1881.0,571.0,1769.0,553.0,3.9286
258100.0,-118.06,34.09,36.0,1239.0,238.0,717.0,237.0,3.244
350000.0,-117.94,33.83,20.0,812.0,192.0,494.0,172.0,3.25
179500.0,-119.53,37.34,26.0,4047.0,702.0,571.0,199.0,2.3482
217100.0,-117.91,34.08,33.0,2325.0,452.0,1170.0,445.0,3.6625
500001.0,-118.43,34.17,42.0,777.0,102.0,284.0,113.0,11.2093
142000.0,-116.92,32.79,24.0,4055.0,742.0,2123.0,744.0,4.5224
195900.0,-116.99,33.99,22.0,4227.0,658.0,1849.0,619.0,4.7356
84200.0,-117.09,32.7,15.0,869.0,217.0,887.0,216.0,1.4583
72700.0,-115.51,32.68,11.0,2872.0,610.0,2644.0,581.0,2.625
170700.0,-121.42,37.71,7.0,8297.0,1433.0,4189.0,1271.0,4.3696
212500.0,-121.88,37.34,40.0,1547.0,625.0,1493.0,543.0,1.2887
200000.0,-118.3,33.85,38.0,123.0,36.0,142.0,40.0,2.3942
170500.0,-118.26,34.07,36.0,2306.0,813.0,2823.0,765.0,2.0214
258300.0,-121.91,36.62,40.0,1292.0,271.0,504.0,230.0,2.475
79200.0,-117.64,34.06,43.0,763.0,219.0,851.0,198.0,1.7292
289700.0,-117.72,34.1,46.0,2477.0,458.0,1034.0,455.0,5.5
149100.0,-117.08,32.61,27.0,2264.0,525.0,1485.0,468.0,3.3514
62000.0,-117.05,34.89,36.0,1199.0,260.0,665.0,229.0,3.7065
80900.0,-115.37,32.82,14.0,1276.0,270.0,867.0,261.0,1.9375
158900.0,-117.94,34.04,33.0,1493.0,331.0,1571.0,354.0,3.8864
125200.0,-121.8,39.75,28.0,2551.0,378.0,1011.0,374.0,4.3309
173700.0,-116.98,32.74,24.0,977.0,147.0,454.0,169.0,4.9286
79200.0,-123.28,40.77,25.0,767.0,206.0,301.0,121.0,1.625
112900.0,-117.38,34.13,13.0,2903.0,510.0,1844.0,510.0,3.7198
137500.0,-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668
