@relation concrete

@attribute ConcreteCompressiveStrength numeric
@attribute Cement numeric
@attribute  BlastFurnaceSlag numeric
@attribute  FlyAsh numeric
@attribute  Water numeric
@attribute  Superplasticizer numeric
@attribute  CoarseAggregate numeric
@attribute  FineAggregate numeric
@attribute  Age numeric

@data
46.389999,165.0,128.5,132.100006,175.100006,8.1,1005.799988,746.599976,28.0
82.599998,389.899994,189.0,0.0,145.899994,22.0,944.700012,755.799988,91.0
29.75,172.399994,13.6,172.399994,156.800003,4.1,1006.299988,856.400024,14.0
30.450001,277.200012,97.800003,24.5,160.699997,11.2,1061.699951,782.5,3.0
32.82,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0
39.419998,266.0,112.0,87.0,178.0,10.0,910.0,745.0,28.0
41.099998,401.799988,94.699997,0.0,147.399994,11.4,946.799988,852.099976,3.0
7.51,135.699997,203.5,0.0,185.699997,0.0,1076.199951,759.299988,7.0
30.23,238.100006,0.0,94.099998,186.699997,7.0,949.900024,847.0,28.0
52.830002,279.799988,128.899994,100.400002,172.399994,9.5,825.099976,804.900024,28.0
22.440001,281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28.0
61.09,374.0,189.199997,0.0,170.100006,10.1,926.099976,756.700012,28.0
17.219999,251.399994,0.0,118.300003,188.5,5.8,1028.400024,757.700012,3.0
60.200001,375.0,93.800003,0.0,126.599998,23.4,852.099976,992.599976,56.0
44.610001,142.0,167.0,130.0,174.0,11.0,883.0,785.0,28.0
15.09,164.0,0.0,200.0,181.0,13.0,849.0,846.0,28.0
37.169998,272.799988,105.099998,81.800003,209.699997,9.0,904.0,679.700012,28.0
27.66,233.800003,0.0,94.599998,197.899994,4.6,947.0,852.200012,56.0
51.02,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0
26.309999,212.5,0.0,100.400002,159.300003,8.7,1007.799988,903.599976,14.0
47.220001,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90.0
20.42,236.0,157.0,0.0,192.0,0.0,972.599976,749.099976,7.0
40.57,190.699997,0.0,125.400002,162.100006,7.8,1090.0,804.0,100.0
47.810001,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0
12.05,238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7.0
55.060001,342.0,38.0,0.0,228.0,0.0,932.0,670.0,270.0
54.380001,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270.0
79.300003,362.600006,189.0,0.0,164.899994,11.6,944.700012,755.799988,91.0
53.77,173.5,50.099998,173.5,164.800003,6.5,1006.200012,793.5,56.0
27.530001,307.0,0.0,0.0,193.0,0.0,968.0,812.0,28.0
73.699997,401.799988,94.699997,0.0,147.399994,11.4,946.799988,852.099976,56.0
12.18,151.600006,0.0,111.900002,184.399994,7.9,992.0,815.900024,28.0
62.939999,359.0,19.0,141.0,154.0,10.9,942.0,801.0,28.0
55.450001,355.0,19.0,97.0,145.0,12.3,967.0,871.0,28.0
29.23,108.300003,162.399994,0.0,203.5,0.0,938.200012,849.0,90.0
17.440001,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7.0
19.52,212.0,0.0,124.800003,159.0,7.8,1085.400024,799.5,3.0
37.439999,382.5,0.0,0.0,185.699997,0.0,1047.800049,739.299988,28.0
15.44,231.800003,0.0,121.599998,174.0,6.7,1056.400024,778.5,3.0
11.47,252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0
66.699997,425.0,106.300003,0.0,151.399994,18.6,936.0,803.700012,91.0
29.41,156.0,178.0,187.0,221.0,7.0,854.0,614.0,28.0
34.240002,178.0,129.800003,118.599998,179.899994,3.6,1007.299988,746.799988,14.0
11.85,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,3.0
37.330002,310.0,0.0,0.0,192.0,0.0,970.0,850.0,180.0
39.490002,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90.0
48.849998,393.0,0.0,0.0,192.0,0.0,940.599976,785.599976,90.0
38.0,286.299988,200.899994,0.0,144.699997,11.2,1004.599976,803.700012,7.0
53.720001,165.0,128.5,132.100006,175.100006,8.1,1005.799988,746.599976,56.0
44.52,313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28.0
56.099998,439.0,177.0,0.0,186.0,11.1,884.900024,707.900024,7.0
37.919998,166.0,259.700012,0.0,183.199997,12.7,858.799988,826.799988,28.0
33.119999,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0
74.169998,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270.0
38.5,212.0,0.0,124.800003,159.0,7.8,1085.400024,799.5,28.0
38.560001,190.300003,0.0,125.199997,161.899994,9.9,1088.099976,802.599976,56.0
58.610001,275.100006,0.0,121.400002,159.5,9.9,1053.599976,777.5,100.0
42.290001,252.300003,0.0,98.800003,146.300003,14.2,987.799988,889.0,14.0
17.82,168.0,42.099998,163.800003,121.800003,5.7,1058.699951,780.099976,14.0
33.540001,166.100006,0.0,163.300003,176.5,4.5,1058.599976,780.099976,100.0
11.36,277.0,0.0,0.0,191.0,0.0,968.0,856.0,3.0
63.529999,218.199997,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,100.0
61.23,326.0,166.0,0.0,174.0,9.0,882.0,790.0,28.0
29.73,143.0,169.399994,142.699997,190.699997,8.4,967.400024,643.5,28.0
32.880001,236.0,157.0,0.0,192.0,0.0,972.599976,749.099976,28.0
21.860001,290.200012,193.5,0.0,185.699997,0.0,998.200012,704.299988,7.0
37.259998,321.0,0.0,128.0,182.0,11.0,870.0,780.0,28.0
41.720001,198.600006,132.399994,0.0,192.0,0.0,978.400024,825.5,180.0
61.990002,218.199997,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,56.0
11.17,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7.0
30.959999,297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7.0
42.220001,246.800003,0.0,125.099998,143.300003,12.0,1086.800049,800.900024,14.0
10.39,141.300003,212.0,0.0,203.5,0.0,971.799988,748.5,7.0
47.130001,213.800003,98.099998,24.5,181.699997,6.7,1066.0,785.5,56.0
54.599998,305.299988,203.5,0.0,203.5,0.0,965.400024,631.0,90.0
42.549999,212.5,0.0,100.400002,159.300003,8.7,1007.799988,903.599976,56.0
25.610001,491.0,26.0,123.0,210.0,3.9,882.0,699.0,3.0
52.119999,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0
33.360001,251.800003,0.0,99.900002,146.100006,12.4,1006.0,899.799988,14.0
14.64,198.600006,132.399994,0.0,192.0,0.0,978.400024,825.5,7.0
55.259998,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0
64.019997,505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28.0
60.290001,425.0,106.300003,0.0,153.5,16.5,852.099976,887.099976,28.0
14.4,165.0,0.0,143.600006,163.800003,0.0,1005.599976,900.900024,3.0
24.049999,183.899994,122.599998,0.0,203.5,0.0,959.200012,800.0,28.0
37.419998,382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28.0
41.68,203.5,305.299988,0.0,203.5,0.0,963.400024,630.0,28.0
53.900002,213.699997,98.099998,24.5,181.699997,6.9,1065.800049,785.400024,100.0
55.16,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270.0
79.989998,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0
14.2,275.0,0.0,0.0,183.0,0.0,1088.0,808.0,7.0
21.91,297.200012,0.0,117.5,174.800003,9.5,1022.799988,753.5,3.0
70.699997,469.0,117.199997,0.0,137.800003,32.200001,852.099976,840.5,91.0
36.439999,139.899994,132.600006,103.300003,200.300003,7.4,916.0,753.400024,28.0
57.220001,321.299988,164.199997,0.0,190.5,4.6,870.0,774.0,28.0
25.450001,397.0,0.0,0.0,185.699997,0.0,1040.599976,734.299988,7.0
50.66,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0
55.599998,475.0,118.800003,0.0,181.100006,8.9,852.099976,781.5,7.0
65.910004,366.0,187.0,0.0,191.300003,6.6,824.299988,756.900024,28.0
40.560001,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0
15.61,213.5,0.0,174.199997,159.199997,11.7,1043.599976,771.900024,3.0
38.110001,310.0,0.0,0.0,192.0,0.0,970.0,850.0,360.0
64.300003,425.0,106.300003,0.0,153.5,16.5,852.099976,887.099976,56.0
61.240002,325.600006,166.399994,0.0,174.0,8.9,881.599976,790.0,28.0
73.300003,439.0,177.0,0.0,186.0,11.1,884.900024,707.900024,91.0
52.040001,295.700012,0.0,95.599998,171.5,8.9,955.099976,859.200012,100.0
9.31,254.0,0.0,0.0,198.0,0.0,968.0,863.0,3.0
40.200001,469.0,117.199997,0.0,137.800003,32.200001,852.099976,840.5,3.0
11.48,252.5,0.0,0.0,185.699997,0.0,1111.599976,784.299988,7.0
29.870001,143.699997,170.199997,132.600006,191.600006,8.5,814.099976,805.299988,28.0
36.299999,425.0,106.300003,0.0,151.399994,18.6,936.0,803.700012,3.0
18.129999,302.0,0.0,0.0,203.0,0.0,974.0,817.0,14.0
15.36,249.100006,0.0,98.800003,158.100006,12.8,987.799988,889.0,3.0
13.29,134.699997,0.0,165.699997,180.199997,10.0,961.0,804.900024,28.0
12.64,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1.0
33.400002,425.0,106.300003,0.0,153.5,16.5,852.099976,887.099976,3.0
35.860001,298.0,0.0,107.0,164.0,13.0,953.0,784.0,28.0
6.81,212.0,141.300003,0.0,203.5,0.0,973.400024,750.0,3.0
10.54,145.0,0.0,179.0,202.0,8.0,824.0,869.0,28.0
36.799999,313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28.0
11.58,222.399994,0.0,96.699997,189.300003,4.5,967.099976,870.299988,3.0
47.400002,297.200012,0.0,117.5,174.800003,9.5,1022.799988,753.5,28.0
79.300003,362.600006,189.0,0.0,164.899994,11.6,944.700012,755.799988,91.0
25.18,296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28.0
64.300003,425.0,106.300003,0.0,153.5,16.5,852.099976,887.099976,56.0
29.870001,144.0,170.0,133.0,192.0,8.0,814.0,805.0,28.0
33.689999,310.0,143.0,111.0,168.0,22.0,914.0,651.0,28.0
13.22,339.0,0.0,0.0,197.0,0.0,968.0,781.0,3.0
44.09,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28.0
56.700001,375.0,93.800003,0.0,126.599998,23.4,852.099976,992.599976,28.0
56.830002,528.0,0.0,0.0,185.0,6.9,920.0,720.0,28.0
48.700001,266.0,114.0,0.0,228.0,0.0,932.0,670.0,180.0
77.300003,362.600006,189.0,0.0,164.899994,11.6,944.700012,755.799988,56.0
23.74,145.699997,172.600006,0.0,181.899994,3.4,985.799988,816.799988,28.0
31.25,277.0,0.0,0.0,191.0,0.0,968.0,856.0,90.0
38.77,275.100006,0.0,121.400002,159.5,9.9,1053.599976,777.5,14.0
4.9,183.899994,122.599998,0.0,203.5,0.0,959.200012,800.0,3.0
46.23,314.0,145.0,113.0,179.0,8.0,869.0,690.0,28.0
48.59,178.0,129.800003,118.599998,179.899994,3.6,1007.299988,746.799988,56.0
63.400002,374.0,189.199997,0.0,170.100006,10.1,926.099976,756.700012,56.0
39.0,424.0,22.0,132.0,178.0,8.5,822.0,750.0,7.0
61.799999,425.0,106.300003,0.0,151.399994,18.6,936.0,803.700012,28.0
39.299999,234.0,156.0,0.0,189.0,5.9,981.0,760.0,28.0
36.990002,297.200012,0.0,117.5,174.800003,9.5,1022.799988,753.5,14.0
26.860001,153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28.0
38.630001,326.5,0.0,137.899994,199.0,10.8,801.099976,792.5,28.0
56.139999,446.0,24.0,79.0,162.0,11.6,967.0,712.0,56.0
41.369999,516.0,0.0,0.0,162.0,8.2,801.0,802.0,28.0
14.7,385.0,0.0,0.0,186.0,0.0,966.0,763.0,3.0
29.549999,491.0,26.0,123.0,201.0,3.9,822.0,699.0,3.0
32.400002,261.0,100.0,78.0,201.0,9.0,864.0,761.0,28.0
20.870001,250.0,0.0,0.0,182.0,0.0,1100.0,820.0,28.0
13.82,250.0,0.0,95.699997,187.399994,5.5,956.900024,861.200012,3.0
12.54,307.0,0.0,0.0,193.0,0.0,968.0,812.0,3.0
47.82,212.0,0.0,124.800003,159.0,7.8,1085.400024,799.5,100.0
19.77,272.799988,181.899994,0.0,185.699997,0.0,1012.400024,714.299988,7.0
20.77,322.0,0.0,0.0,203.0,0.0,974.0,800.0,14.0
18.75,255.0,0.0,0.0,192.0,0.0,889.799988,945.0,28.0
19.99,146.5,114.599998,89.300003,201.899994,8.8,860.0,829.5,28.0
17.34,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28.0
33.299999,132.0,207.0,161.0,179.0,5.0,867.0,736.0,28.0
39.459999,159.800003,250.0,0.0,168.399994,12.2,1049.300049,688.200012,28.0
31.74,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28.0
31.65,339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28.0
37.43,150.0,236.800003,0.0,173.800003,11.9,1069.300049,674.799988,28.0
43.939999,480.0,0.0,0.0,192.0,0.0,936.200012,712.200012,28.0
35.849998,172.399994,13.6,172.399994,156.800003,4.1,1006.299988,856.400024,56.0
40.66,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90.0
12.45,194.699997,0.0,100.5,165.600006,7.5,1006.400024,905.900024,3.0
19.110001,393.0,0.0,0.0,192.0,0.0,940.0,758.0,3.0
37.27,321.399994,0.0,127.900002,182.5,11.5,870.099976,779.700012,28.0
32.529999,183.899994,122.599998,0.0,203.5,0.0,959.200012,800.0,90.0
53.959999,214.899994,53.799999,121.900002,155.600006,9.6,1014.299988,780.599976,56.0
38.700001,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120.0
66.0,439.0,177.0,0.0,186.0,11.1,884.900024,707.900024,28.0
59.0,356.0,119.0,0.0,160.0,9.0,1061.0,657.0,28.0
45.900002,387.0,20.0,94.0,157.0,13.9,938.0,845.0,7.0
42.349998,250.0,0.0,95.699997,187.399994,5.5,956.900024,861.200012,100.0
15.69,238.199997,158.800003,0.0,185.699997,0.0,1040.599976,734.299988,7.0
66.099998,318.799988,212.5,0.0,155.699997,14.3,852.099976,880.400024,56.0
47.740002,212.600006,0.0,100.400002,159.399994,10.4,1003.799988,903.799988,100.0
22.719999,190.300003,0.0,125.199997,161.899994,9.9,1088.099976,802.599976,14.0
55.830002,252.300003,0.0,98.800003,146.300003,14.2,987.799988,889.0,56.0
8.37,153.0,102.0,0.0,192.0,0.0,888.0,943.099976,7.0
33.759998,162.0,190.100006,148.100006,178.800003,18.799999,838.099976,741.400024,28.0
79.400002,389.899994,189.0,0.0,145.899994,22.0,944.700012,755.799988,56.0
53.52,298.0,137.0,107.0,201.0,6.0,878.0,655.0,28.0
12.18,152.0,0.0,112.0,184.0,8.0,992.0,816.0,28.0
23.52,246.800003,0.0,125.099998,143.300003,12.0,1086.800049,800.900024,3.0
23.51,168.899994,42.200001,124.300003,158.300003,10.8,1080.800049,796.200012,14.0
57.599998,388.600006,97.099998,0.0,157.899994,12.1,852.099976,925.700012,91.0
55.200001,388.600006,97.099998,0.0,157.899994,12.1,852.099976,925.700012,56.0
50.080002,213.699997,0.0,174.699997,154.800003,10.2,1053.5,776.400024,100.0
4.83,141.300003,212.0,0.0,203.5,0.0,971.799988,748.5,3.0
23.700001,148.5,139.399994,108.599998,192.699997,6.1,892.400024,780.0,28.0
2.33,108.300003,162.399994,0.0,203.5,0.0,938.200012,849.0,3.0
35.57,181.399994,0.0,167.0,169.600006,7.6,1055.599976,777.799988,56.0
31.379999,272.799988,181.899994,0.0,185.699997,0.0,1012.400024,714.299988,28.0
15.34,144.0,15.0,195.0,176.0,6.0,1021.0,709.0,28.0
24.4,286.299988,200.899994,0.0,144.699997,11.2,1004.599976,803.700012,3.0
29.93,251.399994,0.0,118.300003,188.5,5.8,1028.400024,757.700012,14.0
39.27,251.399994,0.0,118.300003,192.899994,5.8,1043.599976,754.299988,56.0
31.42,296.0,0.0,107.0,221.0,11.0,819.0,778.0,28.0
40.68,326.0,0.0,138.0,199.0,11.0,801.0,792.0,28.0
33.720001,261.899994,110.5,86.099998,195.399994,5.0,895.200012,732.599976,28.0
35.23,140.0,164.0,128.0,237.0,6.0,869.0,656.0,28.0
28.469999,190.300003,0.0,125.199997,161.899994,9.9,1088.099976,802.599976,28.0
19.99,147.0,115.0,89.0,202.0,9.0,860.0,829.0,28.0
31.42,296.0,0.0,106.699997,221.399994,10.5,819.200012,778.400024,28.0
27.92,310.0,0.0,0.0,192.0,0.0,970.0,850.0,28.0
41.669998,387.0,20.0,94.0,157.0,11.6,938.0,845.0,7.0
14.14,305.299988,203.5,0.0,203.5,0.0,965.400024,631.0,3.0
18.280001,155.0,183.0,0.0,193.0,9.0,1047.0,697.0,28.0
50.240002,387.0,20.0,94.0,157.0,14.3,938.0,845.0,28.0
44.400002,212.600006,0.0,100.400002,159.399994,10.4,1003.799988,903.799988,56.0
25.620001,376.0,0.0,0.0,214.600006,0.0,1003.5,762.400024,14.0
66.82,277.200012,97.800003,24.5,160.699997,11.2,1061.699951,782.5,56.0
6.9,166.800003,250.199997,0.0,203.5,0.0,975.599976,692.599976,3.0
15.04,190.699997,0.0,125.400002,162.100006,7.8,1090.0,804.0,3.0
17.24,255.5,170.300003,0.0,185.699997,0.0,1026.599976,724.299988,7.0
52.200001,214.899994,53.799999,121.900002,155.600006,9.6,1014.299988,780.599976,28.0
29.889999,141.300003,212.0,0.0,203.5,0.0,971.799988,748.5,28.0
23.790001,154.800003,183.399994,0.0,193.300003,9.1,877.200012,867.700012,28.0
25.02,446.0,24.0,79.0,162.0,11.6,967.0,712.0,3.0
37.23,331.0,0.0,0.0,192.0,0.0,978.0,825.0,90.0
38.02,446.0,24.0,79.0,162.0,11.6,967.0,712.0,7.0
37.360001,156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28.0
14.6,289.0,0.0,0.0,192.0,0.0,913.200012,895.299988,7.0
33.720001,262.0,111.0,86.0,195.0,5.0,895.0,733.0,28.0
26.4,190.699997,0.0,125.400002,162.100006,7.8,1090.0,804.0,28.0
33.950001,166.800003,250.199997,0.0,203.5,0.0,975.599976,692.599976,28.0
61.860001,491.0,26.0,123.0,201.0,3.9,822.0,699.0,56.0
47.279999,333.0,17.5,163.0,167.0,17.9,996.0,652.0,28.0
42.700001,231.800003,0.0,121.599998,174.0,6.7,1056.400024,778.5,56.0
12.84,236.0,0.0,0.0,194.0,0.0,968.0,885.0,14.0
56.34,387.0,20.0,94.0,157.0,14.3,938.0,845.0,56.0
23.790001,155.0,183.0,0.0,193.0,9.0,877.0,868.0,28.0
56.400002,531.299988,0.0,0.0,141.800003,28.200001,852.099976,893.700012,28.0
32.25,272.600006,0.0,89.599998,198.699997,10.6,931.299988,762.200012,28.0
57.029999,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0
22.93,184.0,86.0,190.0,213.0,6.0,923.0,623.0,28.0
33.799999,255.300003,98.800003,77.0,188.600006,6.5,919.0,749.299988,28.0
49.200001,425.0,106.300003,0.0,153.5,16.5,852.099976,887.099976,7.0
50.509998,522.0,0.0,0.0,146.0,0.0,896.0,896.0,7.0
31.18,322.0,0.0,116.0,196.0,10.0,818.0,813.0,28.0
51.959999,297.200012,0.0,117.5,174.800003,9.5,1022.799988,753.5,56.0
45.080002,290.399994,0.0,96.199997,168.100006,9.4,961.200012,865.0,56.0
67.57,500.0,0.0,0.0,140.0,4.0,966.0,853.0,28.0
33.700001,213.5,0.0,174.199997,154.600006,11.7,1052.300049,775.5,14.0
37.68,172.399994,13.6,172.399994,156.800003,4.1,1006.299988,856.400024,100.0
15.82,173.800003,93.400002,159.899994,172.300003,9.7,1007.200012,746.599976,3.0
32.849998,168.0,42.099998,163.800003,121.800003,5.7,1058.699951,780.099976,56.0
7.4,168.899994,42.200001,124.300003,158.300003,10.8,1080.800049,796.200012,3.0
66.900002,469.0,117.199997,0.0,137.800003,32.200001,852.099976,840.5,28.0
41.049999,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0
10.76,166.100006,0.0,163.300003,176.5,4.5,1058.599976,780.099976,3.0
35.759998,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90.0
28.68,249.100006,0.0,98.800003,158.100006,12.8,987.799988,889.0,14.0
25.889999,305.299988,203.5,0.0,203.5,0.0,965.400024,631.0,7.0
60.279999,520.0,0.0,0.0,170.0,5.2,855.0,855.0,28.0
29.719999,143.0,169.0,143.0,191.0,8.0,967.0,643.0,28.0
57.919998,491.0,26.0,123.0,201.0,3.9,822.0,699.0,28.0
9.73,250.199997,166.800003,0.0,203.5,0.0,977.599976,694.099976,3.0
50.939999,173.800003,93.400002,159.899994,172.300003,9.7,1007.200012,746.599976,100.0
50.599998,252.300003,0.0,98.800003,146.300003,14.2,987.799988,889.0,28.0
15.07,202.0,11.0,141.0,206.0,1.7,942.0,801.0,7.0
17.950001,148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28.0
71.300003,362.600006,189.0,0.0,164.899994,11.6,944.700012,755.799988,28.0
41.369999,516.0,0.0,0.0,162.0,8.3,801.0,802.0,28.0
29.59,213.5,0.0,174.199997,159.199997,11.7,1043.599976,771.900024,14.0
39.450001,160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28.0
46.23,314.0,145.300003,113.199997,178.899994,8.0,869.099976,690.200012,28.0
45.849998,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0
41.41,167.0,75.400002,167.0,164.0,7.9,1007.299988,770.099976,28.0
32.110001,424.0,22.0,132.0,168.0,8.9,822.0,750.0,3.0
44.139999,251.800003,0.0,99.900002,146.100006,12.4,1006.0,899.799988,56.0
72.300003,475.0,118.800003,0.0,181.100006,8.9,852.099976,781.5,56.0
18.290001,154.800003,183.399994,0.0,193.300003,9.1,1047.400024,696.700012,28.0
39.439999,239.600006,359.399994,0.0,185.699997,0.0,941.599976,664.299988,28.0
52.200001,379.5,151.199997,0.0,153.899994,15.9,1134.300049,605.0,28.0
13.66,133.0,200.0,0.0,192.0,0.0,927.400024,839.200012,7.0
38.459999,313.799988,0.0,112.599998,169.899994,10.1,925.299988,782.900024,28.0
24.280001,194.699997,0.0,100.5,170.199997,7.5,998.0,901.799988,14.0
45.369999,181.399994,0.0,167.0,169.600006,7.6,1055.599976,777.799988,100.0
39.599998,393.0,0.0,0.0,192.0,0.0,940.599976,785.599976,28.0
6.27,385.0,0.0,0.0,186.0,0.0,966.0,763.0,1.0
21.969999,202.0,11.0,141.0,206.0,1.7,942.0,801.0,28.0
44.279999,276.0,116.0,90.0,180.0,9.0,870.0,768.0,28.0
37.43,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0
34.560001,233.800003,0.0,94.599998,197.899994,4.6,947.0,852.200012,100.0
41.540001,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0
6.47,236.0,0.0,0.0,194.0,0.0,968.0,885.0,3.0
71.300003,362.600006,189.0,0.0,164.899994,11.6,944.700012,755.799988,28.0
26.23,153.0,145.0,113.0,178.0,8.0,867.0,824.0,28.0
25.18,322.0,0.0,0.0,203.0,0.0,974.0,800.0,28.0
20.969999,339.0,0.0,0.0,197.0,0.0,968.0,781.0,7.0
34.290001,350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28.0
30.219999,218.899994,0.0,124.099998,158.5,11.3,1078.699951,794.900024,28.0
7.72,108.300003,162.399994,0.0,203.5,0.0,938.200012,849.0,7.0
22.530001,350.0,0.0,0.0,203.0,0.0,974.0,775.0,14.0
35.099998,337.899994,189.0,0.0,174.899994,9.5,944.700012,755.799988,7.0
52.450001,312.899994,160.5,0.0,177.600006,9.6,916.599976,759.5,28.0
