@relation ele-1

@attribute Length numeric
@attribute Inhabitants numeric
@attribute  Distance numeric

@data
1224.0,34.0,343.329987
1641.0,16.0,608.330017
2435.0,26.0,716.669983
3117.0,24.0,706.669983
706.0,13.0,423.329987
3327.0,66.0,846.669983
3433.0,54.0,913.330017
1691.0,21.0,363.329987
468.0,27.0,198.330002
1110.0,27.0,353.329987
1370.0,52.0,423.329987
1538.0,16.0,488.329987
2123.0,52.0,563.330017
2437.0,24.0,533.330017
2765.0,64.0,573.330017
2800.0,89.0,1013.330017
774.0,39.0,293.329987
2959.0,26.0,586.669983
1753.0,23.0,576.669983
2974.0,46.0,575.0
1230.0,36.0,283.329987
2039.0,50.0,476.670013
482.0,33.0,165.0
1150.0,18.0,460.0
952.0,17.0,376.670013
2891.0,59.0,783.330017
1565.0,57.0,503.329987
1349.0,11.0,633.330017
1064.0,28.0,193.330002
1167.0,44.0,390.0
353.0,3.0,210.0
1010.0,35.0,246.669998
1412.0,92.0,248.330002
1140.0,76.0,230.0
1500.0,48.0,550.0
498.0,17.0,176.669998
1295.0,42.0,350.0
1207.0,32.0,305.0
2087.0,36.0,776.669983
1100.0,18.0,376.670013
827.0,12.0,420.0
673.0,39.0,181.669998
605.0,50.0,188.330002
517.0,13.0,233.330002
1670.0,23.0,850.0
895.0,37.0,220.0
1181.0,43.0,363.329987
413.0,59.0,165.0
271.0,21.0,113.330002
1104.0,32.0,383.329987
692.0,58.0,301.670013
1328.0,26.0,496.670013
445.0,43.0,193.330002
481.0,11.0,180.0
2254.0,44.0,766.669983
840.0,3.0,316.670013
643.0,4.0,336.670013
592.0,47.0,158.330002
567.0,7.0,356.670013
1296.0,12.0,405.0
742.0,26.0,245.0
1044.0,26.0,481.670013
1575.0,20.0,616.669983
1388.0,50.0,400.0
1296.0,26.0,405.0
1671.0,13.0,673.330017
2465.0,14.0,976.669983
1551.0,9.0,520.0
1660.0,16.0,583.330017
1261.0,10.0,380.0
844.0,12.0,446.670013
1368.0,16.0,660.0
1196.0,31.0,373.329987
1141.0,14.0,415.0
1724.0,28.0,533.330017
1679.0,16.0,406.670013
1773.0,10.0,648.330017
1895.0,25.0,551.669983
1421.0,46.0,460.0
1364.0,6.0,556.669983
1776.0,41.0,633.330017
353.0,9.0,191.669998
500.0,13.0,298.329987
554.0,39.0,238.330002
1015.0,47.0,426.670013
2857.0,16.0,753.330017
835.0,25.0,253.330002
660.0,28.0,261.670013
1471.0,54.0,515.0
828.0,11.0,495.0
1981.0,59.0,633.330017
993.0,9.0,261.670013
126.0,9.0,115.0
132.0,6.0,85.0
421.0,29.0,136.669998
346.0,9.0,135.0
505.0,24.0,395.0
1788.0,46.0,1115.0
1047.0,15.0,426.670013
1478.0,13.0,490.0
2684.0,30.0,863.330017
1046.0,22.0,271.670013
1285.0,70.0,250.0
1987.0,52.0,441.670013
1528.0,75.0,410.0
2346.0,44.0,563.330017
5401.0,29.0,890.0
3000.0,32.0,991.669983
4595.0,41.0,893.330017
3552.0,41.0,926.669983
4437.0,18.0,856.669983
4820.0,27.0,923.330017
3985.0,29.0,1200.0
1489.0,9.0,590.0
2478.0,21.0,516.669983
1894.0,15.0,713.330017
2972.0,25.0,756.669983
4879.0,56.0,816.669983
3977.0,51.0,1018.330017
856.0,6.0,490.0
3729.0,16.0,1673.329956
3898.0,41.0,613.330017
3157.0,19.0,723.330017
4712.0,30.0,1180.0
804.0,12.0,366.670013
2603.0,36.0,718.330017
4210.0,27.0,751.669983
5384.0,48.0,728.330017
1478.0,13.0,513.330017
1285.0,70.0,250.0
1972.0,18.0,636.669983
2350.0,10.0,611.669983
1946.0,23.0,1271.670044
1733.0,92.0,458.329987
2064.0,58.0,365.0
1509.0,97.0,225.0
1422.0,31.0,633.330017
1430.0,18.0,716.669983
1084.0,35.0,330.0
2470.0,37.0,860.0
469.0,19.0,280.0
567.0,36.0,223.330002
1064.0,12.0,536.669983
1174.0,18.0,396.670013
1590.0,16.0,556.669983
2748.0,26.0,603.330017
1688.0,27.0,550.0
1956.0,51.0,405.0
839.0,17.0,276.670013
1466.0,63.0,295.0
2702.0,91.0,996.669983
1417.0,17.0,720.0
948.0,4.0,646.669983
1025.0,111.0,370.0
534.0,16.0,126.669998
1147.0,36.0,305.0
2765.0,14.0,893.330017
375.0,7.0,211.669998
1345.0,45.0,451.670013
4070.0,67.0,1050.0
3430.0,80.0,1166.670044
2930.0,63.0,645.0
4115.0,125.0,706.669983
3200.0,37.0,923.330017
3210.0,51.0,975.0
2745.0,29.0,653.330017
3215.0,40.0,876.669983
7675.0,150.0,1050.0
3605.0,61.0,686.669983
1535.0,22.0,620.0
2120.0,83.0,758.330017
2810.0,86.0,873.330017
1880.0,77.0,560.0
3090.0,320.0,880.0
3570.0,147.0,1270.0
2160.0,36.0,945.0
665.0,15.0,318.329987
1520.0,55.0,420.0
2216.0,22.0,556.669983
4845.0,89.0,1360.0
3362.0,84.0,716.669983
5990.0,90.0,963.330017
2110.0,30.0,571.669983
2560.0,39.0,533.330017
2608.0,38.0,426.670013
2362.0,52.0,546.669983
2160.0,28.0,936.669983
970.0,17.0,295.0
1680.0,24.0,680.0
2594.0,78.0,675.0
1176.0,46.0,390.0
826.0,20.0,313.329987
2916.0,55.0,736.669983
4610.0,59.0,796.669983
3302.0,200.0,596.669983
1396.0,55.0,343.329987
1042.0,19.0,316.670013
2522.0,42.0,573.330017
5009.0,69.0,853.330017
1360.0,20.0,463.329987
764.0,30.0,300.0
2136.0,52.0,1123.329956
1936.0,16.0,606.669983
4016.0,47.0,983.330017
1360.0,14.0,423.329987
3064.0,27.0,613.330017
1982.0,15.0,650.0
1726.0,71.0,363.329987
2684.0,77.0,490.0
2000.0,43.0,473.329987
3096.0,69.0,466.670013
2300.0,39.0,380.0
1694.0,25.0,506.670013
1130.0,15.0,336.670013
1370.0,7.0,546.669983
1942.0,41.0,346.670013
3380.0,67.0,826.669983
1835.0,34.0,508.329987
4750.0,62.0,1370.0
860.0,10.0,266.670013
670.0,19.0,436.670013
862.0,7.0,463.329987
1130.0,18.0,736.669983
2090.0,31.0,700.0
890.0,18.0,323.329987
625.0,16.0,203.330002
710.0,14.0,216.669998
160.0,6.0,136.669998
1885.0,83.0,460.0
2055.0,55.0,308.329987
1357.0,12.0,323.329987
1739.0,24.0,466.670013
908.0,19.0,533.330017
533.0,22.0,198.330002
2291.0,55.0,510.0
2771.0,58.0,553.330017
513.0,8.0,330.0
1936.0,24.0,540.0
384.0,27.0,223.330002
1277.0,29.0,386.670013
498.0,16.0,223.330002
1207.0,11.0,356.670013
3411.0,76.0,863.330017
2521.0,79.0,430.0
1605.0,16.0,603.330017
980.0,14.0,326.670013
570.0,44.0,143.330002
1144.0,20.0,370.0
404.0,5.0,160.0
1276.0,25.0,346.670013
2686.0,35.0,736.669983
1532.0,85.0,400.0
2257.0,30.0,790.0
2124.0,23.0,600.0
1051.0,25.0,313.329987
1362.0,26.0,423.329987
496.0,16.0,203.330002
1837.0,51.0,631.669983
2142.0,29.0,461.670013
118.0,8.0,60.0
1534.0,46.0,460.0
1210.0,13.0,408.329987
1840.0,103.0,433.329987
675.0,29.0,156.669998
823.0,17.0,295.0
542.0,39.0,290.0
1241.0,57.0,405.0
2674.0,65.0,596.669983
1663.0,40.0,450.0
2702.0,79.0,576.669983
1868.0,30.0,446.670013
622.0,17.0,420.0
1535.0,20.0,836.669983
1124.0,19.0,323.329987
390.0,9.0,171.669998
1019.0,12.0,351.670013
1336.0,59.0,471.670013
822.0,18.0,330.0
374.0,15.0,205.0
2134.0,42.0,756.669983
2898.0,52.0,673.330017
1187.0,8.0,346.670013
484.0,19.0,173.330002
1559.0,9.0,516.669983
2651.0,46.0,1106.670044
4046.0,35.0,1016.669983
4486.0,49.0,736.669983
3731.0,54.0,681.669983
1998.0,21.0,640.0
2139.0,21.0,473.329987
2610.0,15.0,806.669983
4673.0,34.0,1095.0
1287.0,20.0,346.670013
2515.0,23.0,953.330017
1003.0,28.0,268.329987
2260.0,86.0,455.0
686.0,16.0,333.329987
2452.0,9.0,476.670013
616.0,12.0,213.330002
942.0,25.0,368.329987
528.0,25.0,195.0
1460.0,39.0,416.670013
1723.0,27.0,460.0
1143.0,37.0,466.670013
1987.0,126.0,690.0
1571.0,36.0,915.0
1002.0,21.0,466.670013
1206.0,30.0,380.0
6465.0,141.0,966.669983
3330.0,63.0,830.0
4880.0,55.0,1006.669983
3310.0,200.0,506.670013
2305.0,60.0,755.0
1675.0,74.0,613.330017
1704.0,22.0,433.329987
2764.0,108.0,611.669983
1190.0,19.0,363.329987
844.0,10.0,473.329987
1698.0,45.0,453.329987
4268.0,55.0,830.0
2206.0,46.0,663.330017
1232.0,39.0,500.0
2289.0,13.0,763.330017
2754.0,70.0,423.329987
2426.0,18.0,593.330017
2275.0,36.0,573.330017
814.0,23.0,473.329987
1780.0,22.0,923.330017
1023.0,12.0,306.670013
