@relation baseball

@attribute Salary numeric
@attribute Batting_average numeric
@attribute  On-base_percentage numeric
@attribute  Runs numeric
@attribute  Hits numeric
@attribute  Doubles numeric
@attribute  Triples numeric
@attribute  HomeRuns numeric
@attribute  Runs_batted_in numeric
@attribute  Walks numeric
@attribute  Strike-Outs numeric
@attribute  Stolen_bases numeric
@attribute  Errors numeric
@attribute  Free_agency_eligibility numeric
@attribute  Free_agent numeric
@attribute  Arbitration_eligibility numeric
@attribute  Arbitration numeric

@data
2383.0,0.282,0.342,110.0,181.0,40.0,10.0,17.0,60.0,55.0,135.0,33.0,1.0,1.0,0.0,0.0,0.0
1458.0,0.295,0.358,79.0,161.0,23.0,4.0,4.0,46.0,53.0,71.0,19.0,11.0,0.0,0.0,1.0,0.0
1600.0,0.262,0.352,74.0,129.0,24.0,5.0,19.0,48.0,63.0,95.0,14.0,11.0,1.0,0.0,0.0,0.0
2300.0,0.251,0.314,56.0,119.0,33.0,3.0,14.0,56.0,39.0,81.0,6.0,2.0,1.0,0.0,0.0,0.0
120.0,0.291,0.341,19.0,37.0,5.0,0.0,2.0,11.0,10.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0
350.0,0.263,0.271,10.0,30.0,8.0,0.0,0.0,9.0,1.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0
500.0,0.249,0.296,36.0,88.0,9.0,2.0,0.0,27.0,22.0,63.0,3.0,18.0,0.0,0.0,1.0,0.0
1350.0,0.241,0.299,42.0,111.0,25.0,0.0,18.0,74.0,32.0,86.0,1.0,6.0,1.0,1.0,0.0,0.0
2500.0,0.259,0.358,71.0,106.0,22.0,5.0,18.0,66.0,62.0,86.0,0.0,6.0,1.0,1.0,0.0,0.0
235.0,0.241,0.313,37.0,55.0,2.0,3.0,0.0,18.0,20.0,21.0,11.0,10.0,0.0,0.0,0.0,0.0
125.0,0.238,0.336,43.0,76.0,19.0,4.0,3.0,34.0,48.0,57.0,10.0,5.0,0.0,0.0,0.0,0.0
587.0,0.278,0.355,24.0,60.0,11.0,2.0,2.0,20.0,25.0,24.0,1.0,4.0,0.0,0.0,1.0,0.0
135.0,0.216,0.316,28.0,58.0,7.0,2.0,5.0,28.0,39.0,33.0,14.0,1.0,0.0,0.0,0.0,0.0
1933.0,0.265,0.31,52.0,108.0,23.0,3.0,8.0,42.0,26.0,72.0,11.0,9.0,0.0,0.0,1.0,0.0
1583.0,0.295,0.383,76.0,144.0,25.0,1.0,20.0,90.0,72.0,67.0,0.0,1.0,1.0,0.0,0.0,0.0
1394.0,0.258,0.381,58.0,108.0,23.0,0.0,4.0,51.0,83.0,50.0,1.0,5.0,1.0,0.0,0.0,0.0
180.0,0.249,0.313,38.0,81.0,11.0,4.0,1.0,20.0,29.0,45.0,13.0,6.0,0.0,0.0,0.0,0.0
3150.0,0.319,0.363,94.0,187.0,34.0,8.0,22.0,86.0,43.0,70.0,10.0,24.0,1.0,0.0,0.0,0.0
120.0,0.217,0.25,4.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0
2100.0,0.323,0.374,99.0,210.0,46.0,5.0,34.0,114.0,53.0,46.0,6.0,11.0,1.0,0.0,0.0,0.0
4125.0,0.26,0.321,69.0,150.0,23.0,1.0,19.0,96.0,55.0,74.0,10.0,7.0,1.0,1.0,0.0,0.0
120.0,0.225,0.33,7.0,20.0,2.0,0.0,0.0,5.0,14.0,19.0,1.0,2.0,0.0,0.0,0.0,0.0
139.0,0.243,0.27,27.0,61.0,13.0,2.0,9.0,36.0,9.0,74.0,4.0,18.0,0.0,0.0,0.0,0.0
2600.0,0.269,0.335,58.0,111.0,17.0,2.0,18.0,66.0,39.0,69.0,0.0,3.0,1.0,1.0,0.0,0.0
355.0,0.26,0.293,18.0,66.0,6.0,0.0,4.0,21.0,12.0,26.0,2.0,3.0,1.0,0.0,0.0,0.0
215.0,0.194,0.27,8.0,28.0,3.0,2.0,1.0,11.0,16.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0
146.0,0.251,0.296,32.0,68.0,16.0,1.0,12.0,50.0,17.0,48.0,0.0,8.0,0.0,0.0,0.0,0.0
114.0,0.243,0.308,13.0,26.0,7.0,2.0,2.0,8.0,9.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0
1075.0,0.31,0.363,79.0,137.0,27.0,8.0,18.0,74.0,34.0,79.0,13.0,7.0,0.0,0.0,1.0,0.0
2000.0,0.223,0.307,43.0,84.0,10.0,4.0,10.0,40.0,36.0,56.0,7.0,4.0,1.0,0.0,0.0,0.0
2992.0,0.319,0.352,92.0,195.0,29.0,6.0,15.0,89.0,31.0,78.0,11.0,6.0,1.0,0.0,0.0,0.0
3575.0,0.304,0.345,85.0,198.0,38.0,2.0,10.0,56.0,41.0,38.0,31.0,10.0,1.0,0.0,0.0,0.0
2900.0,0.249,0.374,75.0,120.0,18.0,1.0,26.0,87.0,96.0,133.0,0.0,0.0,1.0,0.0,0.0,0.0
1750.0,0.275,0.377,58.0,97.0,19.0,1.0,7.0,44.0,50.0,64.0,9.0,5.0,1.0,0.0,0.0,0.0
4450.0,0.265,0.355,87.0,130.0,24.0,7.0,17.0,83.0,71.0,85.0,10.0,1.0,1.0,0.0,0.0,0.0
2183.0,0.264,0.353,39.0,91.0,16.0,2.0,8.0,40.0,47.0,32.0,4.0,7.0,1.0,0.0,0.0,0.0
2050.0,0.327,0.399,76.0,179.0,42.0,1.0,22.0,100.0,71.0,82.0,18.0,4.0,0.0,0.0,1.0,0.0
120.0,0.246,0.267,5.0,14.0,2.0,0.0,0.0,9.0,1.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0
150.0,0.278,0.316,15.0,59.0,7.0,0.0,2.0,22.0,12.0,19.0,1.0,3.0,0.0,0.0,0.0,0.0
525.0,0.261,0.321,16.0,53.0,4.0,0.0,1.0,17.0,16.0,28.0,0.0,6.0,1.0,0.0,0.0,0.0
117.0,0.227,0.28,4.0,5.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2500.0,0.252,0.309,66.0,137.0,33.0,1.0,28.0,81.0,48.0,93.0,1.0,5.0,1.0,0.0,0.0,0.0
240.0,0.25,0.327,40.0,61.0,11.0,0.0,1.0,18.0,24.0,26.0,14.0,2.0,0.0,0.0,0.0,0.0
2188.0,0.248,0.3,58.0,139.0,29.0,3.0,17.0,88.0,44.0,61.0,0.0,5.0,1.0,0.0,0.0,0.0
315.0,0.305,0.36,69.0,173.0,40.0,6.0,8.0,77.0,50.0,113.0,20.0,3.0,0.0,0.0,0.0,0.0
2567.0,0.196,0.297,36.0,56.0,12.0,0.0,12.0,42.0,41.0,66.0,5.0,8.0,0.0,0.0,1.0,0.0
400.0,0.222,0.296,21.0,38.0,8.0,5.0,2.0,19.0,18.0,52.0,0.0,2.0,1.0,0.0,0.0,0.0
2500.0,0.311,0.336,54.0,137.0,28.0,1.0,10.0,69.0,14.0,22.0,1.0,8.0,1.0,1.0,0.0,0.0
1075.0,0.258,0.318,64.0,107.0,22.0,3.0,8.0,40.0,35.0,86.0,4.0,24.0,0.0,0.0,1.0,0.0
500.0,0.244,0.319,81.0,132.0,24.0,5.0,27.0,98.0,62.0,125.0,2.0,2.0,0.0,0.0,0.0,0.0
2800.0,0.277,0.385,84.0,148.0,34.0,1.0,29.0,93.0,95.0,117.0,5.0,0.0,1.0,0.0,0.0,0.0
550.0,0.225,0.272,17.0,38.0,6.0,1.0,1.0,4.0,11.0,40.0,4.0,5.0,1.0,1.0,0.0,0.0
450.0,0.303,0.401,21.0,50.0,10.0,1.0,6.0,23.0,24.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0
170.0,0.111,0.138,3.0,3.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
1150.0,0.294,0.338,29.0,86.0,15.0,3.0,2.0,40.0,17.0,46.0,2.0,3.0,1.0,0.0,0.0,0.0
280.0,0.23,0.257,34.0,106.0,23.0,1.0,12.0,53.0,16.0,75.0,3.0,15.0,0.0,0.0,0.0,0.0
175.0,0.282,0.323,60.0,130.0,31.0,2.0,26.0,95.0,25.0,99.0,3.0,9.0,0.0,0.0,0.0,0.0
113.0,0.25,0.28,2.0,6.0,0.0,2.0,0.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
275.0,0.261,0.289,86.0,164.0,28.0,9.0,8.0,64.0,24.0,99.0,20.0,3.0,0.0,0.0,0.0,0.0
650.0,0.243,0.344,20.0,45.0,12.0,0.0,0.0,15.0,30.0,30.0,3.0,4.0,1.0,0.0,0.0,0.0
950.0,0.286,0.361,34.0,73.0,14.0,1.0,2.0,19.0,30.0,21.0,2.0,3.0,0.0,0.0,1.0,0.0
3750.0,0.256,0.338,52.0,95.0,13.0,1.0,27.0,69.0,43.0,57.0,2.0,6.0,1.0,0.0,0.0,0.0
675.0,0.271,0.339,21.0,54.0,8.0,1.0,2.0,20.0,21.0,25.0,2.0,11.0,1.0,1.0,0.0,0.0
183.0,0.217,0.283,45.0,80.0,16.0,4.0,5.0,34.0,30.0,75.0,17.0,16.0,0.0,0.0,0.0,0.0
3100.0,0.284,0.373,72.0,131.0,20.0,1.0,20.0,89.0,67.0,48.0,4.0,8.0,1.0,0.0,0.0,0.0
2500.0,0.249,0.337,54.0,115.0,15.0,1.0,17.0,73.0,63.0,116.0,6.0,5.0,1.0,0.0,0.0,0.0
153.0,0.216,0.267,20.0,51.0,7.0,0.0,1.0,17.0,16.0,45.0,3.0,12.0,0.0,0.0,0.0,0.0
135.0,0.268,0.293,3.0,15.0,4.0,0.0,1.0,5.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
2313.0,0.273,0.346,87.0,169.0,28.0,5.0,8.0,58.0,70.0,53.0,3.0,8.0,0.0,0.0,1.0,0.0
130.0,0.286,0.444,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1900.0,0.273,0.284,52.0,143.0,20.0,3.0,3.0,49.0,11.0,38.0,21.0,21.0,0.0,0.0,1.0,0.0
1200.0,0.263,0.373,57.0,127.0,17.0,2.0,16.0,70.0,84.0,108.0,0.0,11.0,0.0,0.0,1.0,0.0
350.0,0.248,0.286,24.0,56.0,5.0,2.0,2.0,13.0,12.0,35.0,2.0,11.0,1.0,1.0,0.0,0.0
2850.0,0.229,0.303,54.0,105.0,24.0,1.0,16.0,70.0,49.0,72.0,1.0,3.0,1.0,0.0,0.0,0.0
3300.0,0.267,0.296,60.0,155.0,22.0,3.0,17.0,87.0,23.0,114.0,8.0,14.0,0.0,0.0,1.0,1.0
360.0,0.281,0.351,78.0,159.0,24.0,6.0,1.0,50.0,59.0,40.0,25.0,18.0,0.0,0.0,0.0,0.0
2367.0,0.219,0.268,34.0,82.0,13.0,2.0,9.0,33.0,23.0,86.0,5.0,9.0,1.0,0.0,0.0,0.0
700.0,0.243,0.279,23.0,69.0,14.0,0.0,1.0,24.0,14.0,67.0,0.0,5.0,0.0,0.0,0.0,0.0
650.0,0.246,0.31,25.0,41.0,13.0,0.0,5.0,22.0,15.0,42.0,0.0,4.0,0.0,0.0,1.0,0.0
3742.0,0.273,0.33,89.0,174.0,42.0,3.0,33.0,108.0,49.0,112.0,20.0,8.0,1.0,0.0,0.0,0.0
3500.0,0.268,0.359,102.0,163.0,20.0,6.0,5.0,50.0,83.0,68.0,51.0,3.0,1.0,0.0,0.0,0.0
775.0,0.272,0.3,18.0,62.0,14.0,2.0,5.0,35.0,9.0,19.0,0.0,3.0,0.0,0.0,1.0,0.0
629.0,0.293,0.355,32.0,79.0,17.0,0.0,1.0,30.0,24.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0
3333.0,0.296,0.401,112.0,182.0,13.0,5.0,2.0,38.0,108.0,79.0,38.0,0.0,1.0,0.0,0.0,0.0
1600.0,0.283,0.349,87.0,175.0,42.0,2.0,5.0,60.0,60.0,53.0,6.0,14.0,0.0,0.0,1.0,1.0
1907.0,0.225,0.292,60.0,130.0,22.0,1.0,13.0,73.0,50.0,100.0,2.0,14.0,1.0,0.0,0.0,0.0
4050.0,0.265,0.361,86.0,134.0,22.0,4.0,28.0,99.0,75.0,125.0,10.0,5.0,1.0,0.0,0.0,0.0
2600.0,0.3,0.368,69.0,141.0,22.0,3.0,19.0,75.0,53.0,64.0,31.0,7.0,1.0,0.0,0.0,0.0
2600.0,0.276,0.346,86.0,158.0,33.0,0.0,25.0,85.0,58.0,113.0,6.0,1.0,1.0,0.0,0.0,0.0
4075.0,0.278,0.396,84.0,147.0,19.0,1.0,31.0,106.0,105.0,135.0,4.0,14.0,1.0,0.0,0.0,0.0
2825.0,0.201,0.33,62.0,97.0,22.0,0.0,22.0,75.0,93.0,116.0,2.0,4.0,1.0,0.0,0.0,0.0
150.0,0.233,0.302,40.0,91.0,17.0,2.0,16.0,45.0,40.0,82.0,1.0,7.0,0.0,0.0,0.0,0.0
805.0,0.262,0.315,51.0,94.0,12.0,1.0,21.0,49.0,27.0,66.0,5.0,2.0,0.0,0.0,1.0,0.0
3850.0,0.322,0.389,115.0,203.0,49.0,3.0,26.0,88.0,68.0,72.0,4.0,12.0,0.0,0.0,1.0,1.0
1100.0,0.238,0.29,38.0,70.0,14.0,4.0,0.0,28.0,18.0,43.0,20.0,3.0,1.0,0.0,0.0,0.0
3213.0,0.255,0.347,45.0,71.0,7.0,5.0,1.0,17.0,39.0,47.0,37.0,3.0,1.0,0.0,0.0,0.0
1150.0,0.286,0.32,63.0,149.0,27.0,4.0,2.0,47.0,27.0,34.0,4.0,12.0,1.0,1.0,0.0,0.0
4200.0,0.301,0.36,79.0,166.0,34.0,3.0,21.0,96.0,52.0,66.0,2.0,8.0,1.0,1.0,0.0,0.0
3100.0,0.255,0.327,77.0,129.0,40.0,2.0,10.0,61.0,58.0,75.0,2.0,1.0,1.0,0.0,0.0,0.0
360.0,0.245,0.322,19.0,45.0,11.0,1.0,1.0,15.0,18.0,43.0,3.0,15.0,0.0,0.0,0.0,0.0
260.0,0.337,0.413,13.0,32.0,5.0,0.0,0.0,12.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
117.0,0.275,0.298,6.0,25.0,3.0,0.0,1.0,6.0,2.0,14.0,0.0,7.0,0.0,0.0,0.0,0.0
1500.0,0.253,0.312,65.0,145.0,30.0,3.0,13.0,80.0,46.0,85.0,4.0,23.0,0.0,0.0,1.0,0.0
3650.0,0.285,0.323,63.0,159.0,27.0,0.0,25.0,86.0,32.0,62.0,2.0,10.0,1.0,0.0,0.0,0.0
525.0,0.288,0.346,80.0,171.0,28.0,2.0,11.0,69.0,48.0,74.0,3.0,27.0,0.0,0.0,0.0,0.0
370.0,0.188,0.243,13.0,30.0,7.0,0.0,5.0,14.0,11.0,42.0,1.0,8.0,0.0,0.0,1.0,0.0
130.0,0.243,0.322,38.0,45.0,8.0,3.0,5.0,17.0,18.0,45.0,15.0,6.0,0.0,0.0,0.0,0.0
400.0,0.188,0.243,20.0,36.0,9.0,1.0,2.0,18.0,15.0,40.0,2.0,2.0,1.0,1.0,0.0,0.0
900.0,0.25,0.279,11.0,57.0,10.0,0.0,1.0,23.0,11.0,46.0,0.0,1.0,1.0,0.0,0.0,0.0
715.0,0.205,0.268,21.0,36.0,5.0,3.0,1.0,11.0,16.0,36.0,7.0,3.0,1.0,0.0,0.0,0.0
2983.0,0.295,0.354,88.0,188.0,41.0,11.0,9.0,69.0,57.0,86.0,53.0,15.0,0.0,0.0,1.0,0.0
2387.0,0.317,0.355,69.0,158.0,27.0,11.0,4.0,62.0,34.0,19.0,8.0,3.0,1.0,0.0,0.0,0.0
1300.0,0.285,0.321,67.0,140.0,23.0,2.0,19.0,80.0,26.0,40.0,0.0,3.0,0.0,0.0,1.0,0.0
350.0,0.294,0.387,79.0,163.0,26.0,4.0,15.0,82.0,75.0,116.0,7.0,12.0,0.0,0.0,0.0,0.0
2750.0,0.301,0.354,91.0,175.0,35.0,3.0,26.0,88.0,44.0,79.0,19.0,12.0,0.0,0.0,1.0,0.0
935.0,0.262,0.319,44.0,121.0,20.0,7.0,4.0,50.0,40.0,49.0,9.0,10.0,0.0,0.0,0.0,0.0
162.0,0.247,0.286,16.0,44.0,13.0,0.0,2.0,22.0,9.0,38.0,0.0,7.0,0.0,0.0,0.0,0.0
687.0,0.217,0.319,41.0,74.0,16.0,0.0,12.0,44.0,51.0,77.0,9.0,9.0,1.0,1.0,0.0,0.0
260.0,0.216,0.265,21.0,58.0,11.0,0.0,11.0,41.0,18.0,53.0,0.0,11.0,0.0,0.0,0.0,0.0
2833.0,0.28,0.359,51.0,101.0,12.0,2.0,6.0,35.0,46.0,39.0,5.0,7.0,1.0,0.0,0.0,0.0
1533.0,0.221,0.283,23.0,51.0,8.0,4.0,1.0,12.0,20.0,33.0,3.0,11.0,0.0,0.0,1.0,0.0
140.0,0.222,0.307,21.0,45.0,9.0,0.0,6.0,22.0,19.0,56.0,3.0,3.0,0.0,0.0,0.0,0.0
430.0,0.318,0.374,72.0,152.0,33.0,1.0,14.0,59.0,46.0,61.0,10.0,9.0,0.0,0.0,0.0,0.0
3633.0,0.252,0.308,58.0,108.0,18.0,2.0,20.0,65.0,31.0,70.0,12.0,13.0,1.0,0.0,0.0,0.0
730.0,0.216,0.253,24.0,62.0,11.0,1.0,0.0,14.0,15.0,31.0,0.0,7.0,0.0,0.0,1.0,0.0
1600.0,0.225,0.31,44.0,96.0,9.0,3.0,0.0,31.0,50.0,69.0,8.0,15.0,1.0,1.0,0.0,0.0
825.0,0.246,0.324,45.0,62.0,12.0,2.0,7.0,24.0,28.0,39.0,17.0,6.0,1.0,0.0,0.0,0.0
387.0,0.256,0.353,64.0,116.0,30.0,1.0,17.0,68.0,68.0,84.0,0.0,5.0,0.0,0.0,0.0,0.0
145.0,0.251,0.361,42.0,61.0,10.0,2.0,3.0,25.0,39.0,48.0,14.0,2.0,0.0,0.0,0.0,0.0
180.0,0.298,0.378,18.0,45.0,10.0,2.0,6.0,21.0,17.0,26.0,1.0,8.0,0.0,0.0,0.0,0.0
4350.0,0.302,0.378,88.0,140.0,27.0,4.0,20.0,69.0,55.0,64.0,24.0,15.0,1.0,0.0,0.0,0.0
775.0,0.25,0.364,27.0,60.0,12.0,1.0,2.0,24.0,44.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0
1000.0,0.26,0.323,36.0,65.0,10.0,0.0,11.0,39.0,23.0,46.0,11.0,5.0,0.0,0.0,1.0,1.0
2167.0,0.213,0.282,48.0,77.0,16.0,2.0,11.0,38.0,35.0,71.0,13.0,9.0,1.0,0.0,0.0,0.0
760.0,0.241,0.32,33.0,84.0,16.0,2.0,6.0,36.0,40.0,53.0,2.0,14.0,0.0,0.0,1.0,1.0
2150.0,0.267,0.333,68.0,130.0,22.0,2.0,20.0,69.0,45.0,77.0,32.0,4.0,0.0,0.0,1.0,0.0
130.0,0.293,0.354,8.0,17.0,7.0,0.0,0.0,9.0,6.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1262.0,0.32,0.368,41.0,98.0,17.0,2.0,3.0,32.0,23.0,19.0,2.0,15.0,0.0,0.0,1.0,0.0
135.0,0.214,0.25,1.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
460.0,0.228,0.279,16.0,38.0,7.0,2.0,3.0,21.0,11.0,32.0,2.0,3.0,0.0,0.0,0.0,0.0
925.0,0.246,0.323,22.0,81.0,14.0,0.0,6.0,26.0,22.0,26.0,2.0,5.0,1.0,0.0,0.0,0.0
2300.0,0.262,0.326,75.0,149.0,27.0,4.0,28.0,86.0,56.0,109.0,7.0,2.0,1.0,1.0,0.0,0.0
2530.0,0.289,0.319,57.0,146.0,19.0,4.0,5.0,68.0,26.0,33.0,5.0,4.0,0.0,0.0,1.0,0.0
5150.0,0.292,0.41,95.0,149.0,28.0,5.0,25.0,116.0,107.0,73.0,43.0,3.0,0.0,0.0,1.0,0.0
500.0,0.249,0.385,32.0,51.0,10.0,1.0,1.0,20.0,47.0,25.0,2.0,3.0,1.0,1.0,0.0,0.0
225.0,0.165,0.218,15.0,19.0,4.0,1.0,1.0,5.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2100.0,0.272,0.337,81.0,162.0,27.0,5.0,4.0,38.0,55.0,74.0,23.0,20.0,0.0,0.0,1.0,0.0
287.0,0.264,0.321,78.0,144.0,34.0,1.0,27.0,102.0,42.0,118.0,4.0,6.0,0.0,0.0,0.0,0.0
525.0,0.217,0.264,10.0,40.0,9.0,0.0,0.0,7.0,8.0,24.0,0.0,4.0,0.0,0.0,0.0,0.0
2700.0,0.246,0.293,58.0,144.0,22.0,1.0,18.0,66.0,33.0,104.0,5.0,17.0,1.0,0.0,0.0,0.0
750.0,0.267,0.321,20.0,72.0,15.0,2.0,3.0,31.0,23.0,38.0,0.0,5.0,0.0,0.0,0.0,0.0
120.0,0.286,0.303,11.0,18.0,1.0,0.0,0.0,3.0,1.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0
5300.0,0.316,0.397,78.0,153.0,35.0,3.0,31.0,100.0,65.0,121.0,6.0,7.0,1.0,1.0,0.0,0.0
115.0,0.261,0.37,1.0,6.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2167.0,0.194,0.286,38.0,63.0,8.0,1.0,8.0,32.0,34.0,49.0,0.0,6.0,1.0,0.0,0.0,0.0
1150.0,0.063,0.063,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
2700.0,0.332,0.421,93.0,181.0,42.0,2.0,8.0,51.0,89.0,32.0,1.0,12.0,1.0,0.0,0.0,0.0
640.0,0.263,0.321,32.0,65.0,10.0,2.0,2.0,26.0,11.0,55.0,7.0,3.0,0.0,0.0,0.0,0.0
109.0,0.364,0.364,2.0,4.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
205.0,0.249,0.336,33.0,46.0,8.0,0.0,3.0,21.0,23.0,42.0,12.0,3.0,0.0,0.0,0.0,0.0
1550.0,0.281,0.342,66.0,119.0,13.0,3.0,3.0,32.0,37.0,71.0,26.0,10.0,0.0,0.0,1.0,0.0
350.0,0.241,0.316,46.0,99.0,25.0,0.0,6.0,44.0,44.0,48.0,1.0,4.0,0.0,0.0,0.0,0.0
200.0,0.203,0.24,39.0,64.0,10.0,1.0,10.0,33.0,14.0,96.0,13.0,6.0,0.0,0.0,0.0,0.0
133.0,0.153,0.227,11.0,18.0,6.0,0.0,1.0,7.0,12.0,41.0,1.0,1.0,0.0,0.0,0.0,0.0
940.0,0.259,0.358,49.0,91.0,14.0,3.0,11.0,54.0,54.0,59.0,5.0,17.0,0.0,0.0,1.0,0.0
2317.0,0.297,0.391,48.0,73.0,13.0,5.0,3.0,12.0,37.0,20.0,24.0,4.0,1.0,0.0,0.0,0.0
2500.0,0.268,0.308,52.0,122.0,20.0,0.0,24.0,77.0,25.0,49.0,3.0,6.0,1.0,0.0,0.0,0.0
3050.0,0.3,0.35,76.0,163.0,26.0,6.0,9.0,83.0,43.0,35.0,15.0,3.0,0.0,0.0,1.0,0.0
850.0,0.327,0.424,60.0,141.0,14.0,3.0,0.0,54.0,75.0,38.0,4.0,20.0,1.0,1.0,0.0,0.0
109.0,0.308,0.31,4.0,8.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,0.259,0.309,65.0,144.0,36.0,3.0,21.0,91.0,40.0,149.0,12.0,23.0,0.0,0.0,0.0,0.0
660.0,0.272,0.304,38.0,82.0,21.0,3.0,9.0,49.0,14.0,49.0,0.0,9.0,0.0,0.0,1.0,0.0
400.0,0.227,0.26,21.0,47.0,10.0,2.0,1.0,15.0,10.0,29.0,12.0,2.0,0.0,0.0,0.0,0.0
