@relation ele-2

@attribute Y numeric
@attribute X1 numeric
@attribute  X2 numeric
@attribute  X3 numeric
@attribute  X4 numeric

@data
2236.300049,4.0,1.2,13.32,60.0
217.520004,0.8,0.24,3.96,1.6
2154.899902,2.5,1.5,24.959999,37.5
3060.629883,8.0,2.4,26.639999,80.0
526.72998,0.6,0.36,12.0,3.0
1353.199951,0.8,0.48,15.99,12.0
794.400024,0.6,0.54,18.0,3.0
294.75,0.8,0.48,5.31,4.0
2868.23999,4.0,3.6,39.959999,40.0
3332.790039,4.0,3.6,60.0,20.0
3730.179932,6.5,1.95,32.459999,97.5
1528.73999,2.5,0.75,8.28,37.5
750.169983,0.8,0.24,3.96,12.0
505.429993,2.0,0.6,6.66,10.0
2888.719971,6.5,3.9,43.290001,32.5
340.540009,0.7,0.42,6.96,3.5
176.240005,0.5,0.15,2.46,2.5
5092.080078,9.5,5.7,63.27,95.0
697.349976,0.5,0.45,15.0,5.0
353.850006,0.5,0.45,15.0,1.0
265.140015,0.7,0.21,3.48,7.0
1001.859985,2.0,1.8,19.98,10.0
1676.670044,5.0,3.0,33.299999,10.0
432.720001,0.6,0.54,9.0,6.0
2195.280029,2.5,2.25,37.5,12.5
1902.119995,3.0,1.8,30.0,15.0
1596.569946,2.5,2.25,24.93,12.5
4189.919922,11.0,6.6,73.260002,22.0
2852.27002,4.0,3.6,39.959999,40.0
673.890015,0.8,0.48,15.99,1.6
1445.380005,5.0,1.5,24.959999,10.0
731.48999,0.8,0.48,15.99,4.0
1901.369995,2.0,1.8,30.0,20.0
198.949997,0.7,0.21,6.99,1.4
328.23999,0.7,0.42,6.96,3.5
2266.25,3.0,2.7,29.969999,30.0
3869.590088,9.5,2.85,47.459999,47.5
1140.849976,2.5,0.75,12.48,12.5
1559.089966,2.5,1.5,16.65,25.0
1815.939941,3.0,1.8,19.98,30.0
237.649994,0.6,0.18,1.98,9.0
730.799988,2.0,1.8,19.98,4.0
5818.629883,9.5,2.85,47.459999,142.5
271.980011,0.6,0.36,12.0,1.2
459.450012,1.5,0.9,9.99,7.5
182.470001,0.5,0.3,3.33,2.5
880.409973,0.9,0.54,18.0,9.0
728.359985,0.8,0.48,15.99,4.0
7632.910156,9.5,8.55,94.949997,142.5
2800.080078,9.5,2.85,31.59,47.5
788.179993,0.9,0.27,4.5,13.5
5174.720215,5.0,4.5,75.0,75.0
1050.199951,0.7,0.63,10.5,10.5
1469.290039,2.5,0.75,8.28,37.5
8153.339844,9.5,5.7,94.980003,142.5
1152.689941,0.8,0.72,12.0,12.0
2995.179932,5.0,4.5,49.950001,25.0
5925.27002,11.0,6.6,73.260002,110.0
345.480011,0.6,0.36,3.96,9.0
462.0,3.0,0.9,9.99,6.0
233.259995,0.5,0.3,9.99,1.0
4576.02002,6.5,5.85,64.980003,65.0
1902.439941,3.0,1.8,30.0,15.0
1560.27002,2.5,0.75,12.48,37.5
345.700012,0.9,0.27,2.97,9.0
3430.02002,6.5,1.95,21.6,97.5
1014.51001,0.8,0.24,7.98,12.0
1470.969971,2.0,1.8,30.0,10.0
709.52002,0.8,0.24,2.64,12.0
1633.089966,3.0,0.9,15.0,30.0
167.0,0.5,0.15,1.64,5.0
2653.48999,5.0,1.5,16.65,75.0
4583.850098,5.0,4.5,75.0,50.0
268.920013,0.8,0.24,2.64,8.0
970.98999,1.5,0.9,9.99,15.0
638.51001,0.6,0.36,12.0,9.0
1417.73999,2.5,0.75,12.48,25.0
289.850006,0.6,0.36,6.0,3.0
3139.080078,8.0,2.4,39.959999,40.0
293.519989,0.9,0.27,4.5,4.5
2976.199951,6.5,3.9,43.290001,32.5
181.449997,0.7,0.63,6.93,1.4
167.029999,0.5,0.15,4.98,1.0
1071.109985,2.0,1.2,19.98,10.0
2601.669922,4.0,2.4,26.639999,60.0
954.599976,0.7,0.21,6.99,10.5
2171.659912,5.0,1.5,24.959999,25.0
959.710022,0.8,0.48,15.99,8.0
6355.629883,9.5,5.7,63.27,142.5
2522.219971,6.5,3.9,43.290001,13.0
297.279999,0.6,0.18,3.0,9.0
8546.030273,9.5,8.55,142.5,95.0
4654.600098,9.5,2.85,47.459999,95.0
920.830017,2.0,0.6,6.66,20.0
1856.199951,3.0,0.9,15.0,45.0
3178.389893,6.5,1.95,32.459999,65.0
689.130005,0.5,0.45,15.0,5.0
2564.090088,6.5,1.95,21.6,65.0
635.619995,0.5,0.45,15.0,2.5
5782.339844,6.5,5.85,97.5,65.0
4514.490234,5.0,4.5,75.0,50.0
149.75,0.8,0.24,2.64,1.6
193.169998,0.7,0.63,6.93,1.4
127.050003,0.5,0.45,4.95,1.0
319.959991,0.7,0.63,6.93,3.5
2069.47998,3.0,1.8,19.98,45.0
2332.27002,3.0,1.8,30.0,30.0
64.470001,0.5,0.15,1.64,1.0
1703.150024,3.0,0.9,9.99,45.0
254.690002,0.9,0.27,9.0,1.8
1132.910034,0.9,0.27,9.0,13.5
1829.890015,1.5,1.35,22.5,22.5
388.679993,0.7,0.21,6.99,3.5
2482.919922,2.5,2.25,37.5,25.0
1689.880005,4.0,1.2,13.32,40.0
958.0,2.0,0.6,6.66,20.0
680.059998,0.7,0.42,13.98,7.0
1016.799988,0.9,0.54,9.0,13.5
1713.150024,3.0,0.9,9.99,45.0
830.530029,2.0,1.2,19.98,10.0
3711.040039,9.5,2.85,31.59,95.0
668.059998,0.9,0.81,13.5,9.0
267.440002,0.6,0.36,3.96,6.0
304.799988,0.6,0.36,6.0,3.0
2029.599976,3.0,1.8,19.98,45.0
260.089996,0.7,0.42,4.64,3.5
2156.219971,2.5,1.5,24.959999,37.5
271.230011,0.6,0.36,3.96,6.0
1268.550049,4.0,1.2,13.32,20.0
291.850006,0.5,0.45,4.95,5.0
2063.76001,4.0,1.2,19.98,40.0
706.099976,0.9,0.27,9.0,9.0
407.149994,0.8,0.24,7.98,1.6
6107.359863,8.0,7.2,79.919998,120.0
525.669983,0.6,0.18,6.0,9.0
323.369995,0.5,0.45,7.5,2.5
4257.720215,8.0,2.4,26.639999,120.0
2640.22998,6.5,1.95,32.459999,32.5
454.890015,0.7,0.21,6.99,7.0
157.809998,0.8,0.24,3.96,1.6
607.289978,0.9,0.81,13.5,4.5
1582.660034,2.5,2.25,24.93,12.5
1566.890015,2.5,1.5,16.65,25.0
301.869995,0.5,0.3,4.98,5.0
1760.849976,2.0,1.8,19.98,30.0
839.190002,0.9,0.54,5.94,13.5
207.270004,0.6,0.36,3.96,3.0
940.809998,0.8,0.48,7.98,12.0
327.649994,0.7,0.42,4.64,7.0
855.169983,1.5,1.35,22.5,7.5
192.789993,0.7,0.21,3.48,1.4
71.580002,0.5,0.15,1.64,1.0
544.48999,2.5,0.75,12.48,5.0
1807.680054,4.0,2.4,26.639999,20.0
787.450012,0.9,0.27,4.5,13.5
8269.709961,8.0,7.2,120.0,120.0
256.559998,0.6,0.18,1.98,9.0
276.549988,0.7,0.21,3.48,7.0
4039.780029,5.0,3.0,49.98,75.0
331.850006,0.7,0.21,6.99,1.4
215.149994,0.7,0.21,6.99,1.4
3023.929932,8.0,4.8,53.279999,16.0
6970.02002,11.0,3.3,54.959999,165.0
2288.51001,4.0,3.6,39.959999,20.0
2584.560059,3.0,1.8,30.0,45.0
1460.170044,2.0,1.2,13.32,30.0
4886.060059,8.0,4.8,53.279999,120.0
229.559998,0.7,0.21,2.3,7.0
7043.950195,11.0,3.3,54.959999,165.0
237.570007,0.7,0.21,3.48,3.5
5403.209961,6.5,3.9,64.980003,97.5
399.649994,0.9,0.54,5.94,9.0
6545.149902,8.0,4.8,79.980003,120.0
210.660004,0.6,0.36,3.96,3.0
1522.25,1.5,1.35,22.5,15.0
1226.829956,2.5,1.5,16.65,12.5
270.040009,0.8,0.24,3.96,4.0
1808.290039,3.0,2.7,29.969999,15.0
386.01001,0.6,0.54,9.0,3.0
185.940002,0.8,0.24,2.64,4.0
243.860001,0.7,0.42,4.64,3.5
392.390015,0.9,0.27,4.5,9.0
3075.209961,8.0,2.4,26.639999,80.0
1239.609985,0.9,0.81,13.5,13.5
275.149994,0.6,0.54,5.94,3.0
421.769989,0.6,0.36,6.0,6.0
373.5,0.8,0.72,7.92,4.0
5119.910156,6.5,5.85,64.980003,97.5
786.929993,0.8,0.48,5.31,12.0
365.920013,0.7,0.21,6.99,3.5
1079.47998,0.6,0.54,18.0,9.0
1079.47998,0.9,0.54,18.0,9.0
4670.790039,8.0,4.8,79.980003,40.0
2737.320068,8.0,2.4,39.959999,16.0
6801.47998,6.5,5.85,97.5,97.5
236.050003,0.8,0.48,5.31,1.6
3688.340088,4.0,3.6,60.0,40.0
2569.790039,5.0,1.5,16.65,75.0
306.269989,0.6,0.18,6.0,1.2
776.940002,0.8,0.48,15.99,8.0
392.559998,0.8,0.48,5.31,8.0
1773.459961,2.0,1.8,19.98,30.0
598.330017,2.0,1.2,13.32,10.0
3164.790039,4.0,3.6,39.959999,60.0
475.299988,2.0,0.6,9.96,4.0
255.800003,0.7,0.42,4.64,3.5
332.670013,0.6,0.18,6.0,3.0
601.77002,1.5,1.35,14.94,7.5
4774.379883,11.0,6.6,73.260002,55.0
1710.98999,2.5,1.5,16.65,37.5
4391.97998,11.0,3.3,36.630001,110.0
137.059998,0.6,0.18,1.98,3.0
651.090027,2.5,1.5,16.65,5.0
293.170013,0.8,0.24,2.64,8.0
1239.609985,0.9,0.81,13.5,13.5
1024.23999,0.9,0.54,9.0,13.5
2237.77002,6.5,1.95,32.459999,13.0
622.849976,0.7,0.42,13.98,3.5
911.539978,4.0,1.2,19.98,8.0
841.0,0.9,0.54,5.94,13.5
4483.629883,8.0,7.2,79.919998,40.0
174.259995,0.5,0.15,2.46,2.5
1652.77002,2.5,1.5,24.959999,12.5
3059.820068,8.0,2.4,26.639999,80.0
2011.660034,2.5,1.5,24.959999,25.0
399.029999,0.6,0.54,9.0,3.0
2561.909912,3.0,2.7,45.0,15.0
2774.189941,9.5,2.85,31.59,47.5
1218.630005,0.7,0.42,13.98,10.5
4701.560059,8.0,4.8,79.980003,40.0
691.179993,3.0,0.9,15.0,6.0
327.799988,0.6,0.18,6.0,3.0
107.239998,0.5,0.3,3.33,1.0
2513.899902,5.0,1.5,24.959999,50.0
2482.919922,2.5,2.25,37.5,25.0
3449.060059,6.5,1.95,21.6,97.5
293.380005,0.6,0.36,6.0,3.0
480.51001,2.0,0.6,6.66,10.0
1442.199951,2.5,0.75,8.28,37.5
1710.140015,2.5,1.5,16.65,37.5
374.059998,0.7,0.21,6.99,3.5
106.739998,0.6,0.18,1.98,1.2
334.720001,0.5,0.45,7.5,2.5
5266.359863,9.5,2.85,31.59,142.5
810.299988,0.9,0.54,18.0,4.5
216.779999,0.8,0.72,7.92,1.6
980.859985,0.9,0.81,9.0,13.5
7667.660156,9.5,8.55,142.5,47.5
1564.969971,2.5,0.75,12.48,37.5
222.029999,0.5,0.15,1.64,7.5
305.059998,0.7,0.63,6.93,1.4
724.51001,0.8,0.72,12.0,8.0
158.809998,0.6,0.36,6.0,1.2
281.950012,0.5,0.15,4.98,2.5
735.219971,0.7,0.42,4.64,10.5
397.0,0.8,0.48,5.31,8.0
291.700012,0.9,0.27,4.5,4.5
1361.599976,0.8,0.48,15.99,12.0
3438.389893,9.5,5.7,63.27,19.0
330.399994,0.7,0.42,6.96,3.5
889.380005,3.0,0.9,15.0,6.0
3773.75,8.0,2.4,39.959999,80.0
1221.98999,2.5,0.75,8.28,25.0
167.580002,0.9,0.27,2.97,1.8
107.739998,0.5,0.15,2.46,1.0
2608.399902,8.0,2.4,39.959999,16.0
303.600006,0.6,0.36,3.96,6.0
1830.72998,1.5,1.35,22.5,22.5
1561.890015,2.0,1.2,19.98,20.0
138.690002,0.6,0.18,1.98,3.0
5201.939941,11.0,3.3,54.959999,110.0
444.649994,0.5,0.15,4.98,7.5
3417.540039,4.0,2.4,39.959999,60.0
3705.610107,6.5,5.85,64.980003,32.5
299.570007,0.9,0.27,4.5,4.5
851.380005,0.7,0.63,6.93,10.5
2901.959961,6.5,3.9,43.290001,32.5
5777.430176,9.5,2.85,47.459999,142.5
2188.47998,6.5,1.95,32.459999,13.0
4913.689941,11.0,6.6,73.260002,55.0
779.880005,2.0,1.8,19.98,10.0
2840.959961,5.0,1.5,24.959999,75.0
547.789978,0.8,0.72,12.0,4.0
4199.060059,8.0,4.8,53.279999,80.0
197.789993,0.6,0.18,1.98,6.0
1031.890015,0.9,0.54,9.0,13.5
3887.77002,5.0,4.5,49.950001,75.0
167.0,0.5,0.15,1.64,5.0
682.02002,0.7,0.42,13.98,7.0
1240.550049,2.5,1.5,16.65,12.5
7694.689941,11.0,6.6,73.260002,165.0
790.320007,4.0,1.2,13.32,8.0
4081.550049,9.5,5.7,63.27,47.5
8526.25,9.5,8.55,142.5,95.0
3628.949951,11.0,3.3,54.959999,22.0
1967.630005,8.0,2.4,26.639999,16.0
1364.209961,0.8,0.48,15.99,12.0
2019.349976,2.5,1.5,24.959999,25.0
1521.329956,2.0,1.8,19.98,20.0
767.099976,0.6,0.36,12.0,9.0
3733.669922,9.5,2.85,47.459999,47.5
3361.120117,4.0,2.4,39.959999,60.0
6134.140137,8.0,7.2,79.919998,120.0
2245.800049,4.0,2.4,26.639999,40.0
71.699997,0.6,0.18,1.98,1.2
1079.47998,0.9,0.54,18.0,9.0
2454.570068,3.0,2.7,29.969999,45.0
152.550003,0.5,0.15,4.98,1.0
4411.910156,11.0,3.3,36.630001,110.0
363.519989,0.5,0.45,7.5,5.0
436.48999,0.6,0.18,6.0,9.0
5254.040039,6.5,3.9,64.980003,97.5
164.389999,0.5,0.15,1.64,5.0
794.400024,0.6,0.54,18.0,3.0
655.97998,0.5,0.45,15.0,2.5
238.220001,0.5,0.45,4.95,2.5
7075.549805,8.0,7.2,120.0,80.0
1111.430054,0.9,0.27,9.0,13.5
8077.879883,9.5,5.7,94.980003,142.5
610.76001,0.9,0.54,9.0,9.0
260.070007,0.5,0.3,3.33,7.5
1248.180054,2.0,0.6,6.66,30.0
210.070007,0.6,0.18,3.0,3.0
5174.930176,5.0,4.5,75.0,75.0
211.149994,0.7,0.42,4.64,1.4
1049.77002,3.0,0.9,9.99,15.0
503.450012,0.5,0.45,7.5,7.5
2987.01001,4.0,2.4,39.959999,40.0
3899.810059,5.0,4.5,49.950001,75.0
427.420013,0.9,0.54,9.0,4.5
1372.280029,3.0,0.9,9.99,30.0
5219.470215,9.5,8.55,94.949997,47.5
2141.97998,2.5,1.5,24.959999,37.5
1210.319946,1.5,0.9,9.99,22.5
186.110001,0.6,0.18,6.0,1.2
4883.209961,8.0,4.8,53.279999,120.0
262.119995,0.7,0.21,2.3,7.0
5479.569824,8.0,7.2,79.919998,80.0
721.75,0.8,0.24,2.64,12.0
365.480011,0.5,0.15,4.98,7.5
382.859985,2.5,0.75,8.28,5.0
1321.060059,2.0,0.6,6.66,30.0
307.190002,0.8,0.24,2.64,8.0
418.609985,0.7,0.42,6.96,7.0
393.149994,0.6,0.18,6.0,6.0
2804.169922,9.5,2.85,31.59,47.5
8099.609863,9.5,5.7,94.980003,142.5
188.039993,0.8,0.24,2.64,4.0
1272.800049,4.0,1.2,13.32,20.0
1109.01001,1.5,0.45,4.95,22.5
5705.390137,8.0,4.8,79.980003,80.0
1359.329956,3.0,0.9,9.99,30.0
915.950012,0.7,0.21,6.99,10.5
953.52002,0.8,0.48,7.98,12.0
321.940002,2.0,0.6,6.66,4.0
170.309998,0.9,0.27,2.97,1.8
119.279999,0.5,0.15,1.64,2.5
247.759995,0.5,0.3,4.98,2.5
1598.619995,6.5,1.95,21.6,13.0
363.0,0.5,0.15,4.98,7.5
3079.429932,5.0,3.0,49.98,25.0
2080.149902,6.5,1.95,21.6,32.5
1471.040039,2.0,1.8,30.0,10.0
1452.209961,5.0,1.5,24.959999,10.0
97.419998,0.5,0.15,2.46,1.0
5776.919922,6.5,5.85,97.5,65.0
2230.639893,6.5,1.95,32.459999,13.0
521.859985,0.7,0.63,10.5,7.0
5569.589844,9.5,5.7,94.980003,47.5
5113.72998,6.5,5.85,64.980003,97.5
179.169998,0.5,0.3,3.33,2.5
133.270004,0.7,0.21,2.3,1.4
732.409973,2.0,1.2,13.32,10.0
499.600006,3.0,0.9,9.99,6.0
330.519989,2.0,0.6,6.66,4.0
1535.089966,2.0,1.8,19.98,20.0
3351.570068,4.0,2.4,39.959999,60.0
1239.609985,0.9,0.81,13.5,13.5
1355.150024,4.0,2.4,26.639999,8.0
1821.709961,4.0,2.4,26.639999,20.0
397.5,0.6,0.54,9.0,3.0
3016.030029,8.0,4.8,53.279999,16.0
537.549988,0.8,0.72,12.0,4.0
1431.619995,3.0,1.8,19.98,15.0
2768.48999,5.0,3.0,33.299999,50.0
4154.330078,5.0,4.5,75.0,25.0
4302.819824,11.0,3.3,54.959999,55.0
5798.919922,11.0,6.6,73.260002,110.0
5065.129883,9.5,5.7,63.27,95.0
2414.580078,4.0,1.2,19.98,60.0
683.5,2.0,0.6,9.96,10.0
5798.540039,11.0,6.6,73.260002,110.0
514.619995,0.8,0.24,7.98,8.0
334.230011,0.7,0.42,13.98,1.4
1809.48999,3.0,2.7,29.969999,15.0
7655.819824,9.5,8.55,142.5,47.5
1662.800049,6.5,1.95,21.6,13.0
748.619995,2.0,1.2,13.32,10.0
113.660004,0.6,0.36,3.96,1.2
7086.509766,8.0,7.2,120.0,80.0
210.619995,0.5,0.15,1.64,7.5
157.990005,0.7,0.21,2.3,3.5
1442.060059,1.5,1.35,14.94,22.5
1726.540039,5.0,1.5,16.65,25.0
2275.5,2.0,1.8,30.0,30.0
156.610001,0.8,0.24,2.64,1.6
1567.790039,2.5,1.5,16.65,25.0
810.299988,0.9,0.54,18.0,4.5
715.799988,0.7,0.42,4.64,10.5
362.119995,0.5,0.45,7.5,5.0
6403.620117,11.0,3.3,36.630001,165.0
269.640015,0.6,0.18,3.0,6.0
631.01001,0.7,0.42,13.98,1.4
3002.189941,5.0,4.5,49.950001,25.0
704.440002,0.6,0.36,12.0,6.0
120.089996,0.5,0.15,1.64,2.5
2181.669922,4.0,1.2,13.32,60.0
1640.180054,2.5,1.5,24.959999,12.5
4111.899902,6.5,3.9,43.290001,97.5
224.449997,0.8,0.24,3.96,1.6
631.219971,0.7,0.42,13.98,3.5
456.880005,0.5,0.3,9.99,2.5
1988.089966,6.5,1.95,21.6,32.5
3087.25,9.5,2.85,47.459999,19.0
495.720001,0.6,0.36,12.0,1.2
615.210022,0.6,0.54,9.0,9.0
6554.069824,9.5,8.55,94.949997,95.0
3168.620117,5.0,3.0,33.299999,75.0
155.300003,0.7,0.21,2.3,3.5
4303.060059,4.0,3.6,60.0,60.0
214.800003,0.9,0.27,2.97,4.5
3568.419922,5.0,4.5,49.950001,50.0
631.76001,2.5,1.5,16.65,5.0
1357.920044,2.0,0.6,9.96,30.0
269.130005,0.5,0.15,2.46,7.5
2420.449951,4.0,2.4,39.959999,20.0
152.550003,0.6,0.54,5.94,1.2
3233.889893,11.0,3.3,36.630001,55.0
767.099976,0.6,0.36,12.0,9.0
608.030029,1.5,1.35,14.94,7.5
880.409973,0.6,0.54,18.0,9.0
6809.509766,6.5,5.85,97.5,97.5
3772.23999,9.5,2.85,31.59,95.0
3970.689941,6.5,1.95,32.459999,97.5
1050.26001,0.8,0.24,7.98,12.0
2170.5,5.0,1.5,24.959999,25.0
2842.330078,3.0,2.7,45.0,30.0
278.73999,0.6,0.54,5.94,3.0
462.799988,0.9,0.54,5.94,9.0
1834.579956,2.0,1.2,19.98,30.0
350.540009,0.5,0.45,15.0,1.0
1621.569946,3.0,0.9,15.0,30.0
323.130005,0.5,0.45,4.95,7.5
2611.620117,4.0,2.4,26.639999,60.0
607.289978,0.9,0.81,13.5,4.5
555.0,2.5,0.75,12.48,5.0
1814.689941,2.0,1.2,19.98,30.0
1455.579956,2.0,1.2,13.32,30.0
332.899994,0.5,0.45,7.5,2.5
6361.540039,9.5,5.7,63.27,142.5
152.960007,0.6,0.54,5.94,1.2
626.929993,1.5,0.9,15.0,7.5
1478.459961,0.9,0.54,18.0,13.5
530.179993,0.8,0.72,12.0,4.0
1920.949951,2.0,1.8,30.0,20.0
638.580017,0.9,0.54,9.0,9.0
654.22998,0.7,0.21,2.3,10.5
350.730011,0.5,0.45,15.0,1.0
121.660004,0.6,0.18,3.0,1.2
298.480011,0.8,0.48,5.31,4.0
1228.01001,1.5,1.35,14.94,15.0
5255.759766,6.5,5.85,97.5,32.5
1135.420044,0.9,0.27,9.0,13.5
1261.439941,1.5,0.9,15.0,15.0
2283.419922,2.0,1.8,30.0,30.0
717.059998,0.5,0.45,15.0,7.5
2096.25,2.5,2.25,24.93,37.5
897.419983,2.5,0.75,8.28,12.5
855.849976,0.7,0.42,6.96,10.5
728.549988,0.8,0.24,3.96,12.0
1019.070007,0.8,0.24,7.98,12.0
1332.51001,3.0,0.9,15.0,15.0
304.329987,0.5,0.15,4.98,5.0
6838.509766,9.5,5.7,94.980003,95.0
316.619995,0.5,0.15,4.98,5.0
2610.399902,5.0,1.5,24.959999,50.0
267.369995,0.5,0.3,3.33,7.5
492.809998,0.9,0.27,9.0,4.5
918.580017,0.8,0.72,7.92,12.0
3759.370117,9.5,2.85,47.459999,47.5
327.779999,0.7,0.42,13.98,1.4
237.289993,0.5,0.45,4.95,2.5
1467.079956,2.5,0.75,12.48,25.0
1120.189941,5.0,1.5,24.959999,10.0
1339.23999,2.0,0.6,9.96,30.0
2769.719971,5.0,3.0,33.299999,50.0
2416.100098,4.0,2.4,39.959999,20.0
244.869995,0.7,0.21,3.48,3.5
713.340027,0.8,0.24,2.64,12.0
358.820007,0.6,0.54,5.94,6.0
337.390015,0.7,0.63,6.93,3.5
2618.199951,11.0,3.3,36.630001,22.0
327.690002,0.5,0.15,4.98,5.0
1246.930054,4.0,1.2,13.32,20.0
460.73999,0.6,0.36,6.0,9.0
5367.22998,6.5,3.9,64.980003,97.5
3332.679932,4.0,3.6,60.0,20.0
281.049988,0.8,0.24,3.96,4.0
4016.75,5.0,3.0,49.98,75.0
465.519989,0.9,0.27,9.0,1.8
4479.870117,8.0,7.2,79.919998,40.0
808.809998,0.6,0.54,18.0,6.0
624.799988,0.7,0.42,13.98,3.5
2752.25,5.0,3.0,33.299999,50.0
2655.929932,3.0,1.8,30.0,45.0
2466.98999,6.5,3.9,43.290001,13.0
3646.699951,5.0,3.0,49.98,50.0
2098.600098,2.5,2.25,24.93,37.5
635.02002,4.0,1.2,13.32,8.0
4172.089844,8.0,4.8,53.279999,80.0
137.210007,0.7,0.21,3.48,1.4
413.179993,0.9,0.81,9.0,4.5
5473.339844,8.0,7.2,79.919998,80.0
6354.060059,8.0,4.8,79.980003,120.0
764.140015,0.9,0.27,2.97,13.5
2844.629883,4.0,3.6,39.959999,40.0
1166.910034,0.8,0.72,12.0,12.0
794.400024,0.6,0.54,18.0,3.0
866.77002,0.7,0.63,6.93,10.5
457.690002,0.9,0.27,9.0,1.8
718.780029,0.8,0.48,15.99,4.0
764.47998,1.5,1.35,14.94,7.5
74.330002,0.6,0.18,1.98,1.2
1344.880005,3.0,0.9,15.0,15.0
306.429993,0.9,0.54,5.94,4.5
648.099976,0.7,0.21,2.3,10.5
8250.629883,8.0,7.2,120.0,120.0
795.359985,0.9,0.27,4.5,13.5
674.23999,0.5,0.45,15.0,5.0
2398.52002,8.0,2.4,26.639999,40.0
120.269997,0.6,0.36,3.96,1.2
617.72998,0.8,0.24,7.98,8.0
280.350006,0.5,0.15,4.98,2.5
3528.350098,6.5,3.9,43.290001,65.0
1401.439941,3.0,0.9,9.99,30.0
457.940002,0.7,0.21,6.99,7.0
124.470001,0.7,0.21,3.48,1.4
394.380005,0.7,0.63,6.93,7.0
931.169983,0.8,0.48,7.98,12.0
213.820007,0.6,0.18,3.0,3.0
1249.459961,2.5,0.75,8.28,25.0
1478.459961,0.9,0.54,18.0,13.5
284.730011,0.5,0.15,4.98,2.5
483.019989,0.8,0.48,7.98,8.0
729.359985,0.5,0.45,15.0,7.5
2288.580078,2.0,1.8,30.0,30.0
2506.5,5.0,1.5,24.959999,50.0
1643.400024,2.5,1.5,24.959999,12.5
1219.26001,0.7,0.42,13.98,10.5
383.450012,0.8,0.48,7.98,4.0
6404.089844,11.0,3.3,36.630001,165.0
7579.810059,11.0,6.6,73.260002,165.0
1008.880005,0.6,0.54,18.0,6.0
5082.669922,9.5,5.7,63.27,95.0
2812.02002,2.5,2.25,37.5,37.5
4235.830078,8.0,4.8,53.279999,80.0
680.849976,0.8,0.48,15.99,1.6
484.809998,0.5,0.3,9.99,5.0
4177.609863,11.0,6.6,73.260002,22.0
1896.910034,8.0,2.4,26.639999,16.0
8529.129883,9.5,8.55,142.5,95.0
96.43,0.7,0.21,2.3,1.4
97.68,0.7,0.21,2.3,1.4
1597.349976,2.5,2.25,24.93,12.5
136.740005,0.9,0.27,2.97,1.8
1266.310059,1.5,0.9,15.0,15.0
172.639999,0.9,0.54,5.94,1.8
3418.5,6.5,1.95,21.6,97.5
2615.050049,3.0,1.8,30.0,45.0
3156.540039,4.0,3.6,39.959999,60.0
2425.699951,4.0,2.4,39.959999,20.0
5223.379883,11.0,3.3,54.959999,110.0
1445.920044,3.0,1.8,19.98,15.0
950.909973,0.7,0.21,6.99,10.5
